Gm#,Date,Tm,@,Opp,last_opp,new_series,series
1,2022-04-07,WSN,,NYM,,True,1.0
2,2022-04-08,WSN,,NYM,NYM,False,1.0
3,2022-04-09,WSN,,NYM,NYM,False,1.0
4,2022-04-10,WSN,,NYM,NYM,False,1.0
5,2022-04-11,WSN,@,ATL,NYM,True,2.0
6,2022-04-12,WSN,@,ATL,ATL,False,2.0
7,2022-04-13,WSN,@,ATL,ATL,False,2.0
8,2022-04-14,WSN,@,PIT,ATL,True,3.0
9,2022-04-15,WSN,@,PIT,PIT,False,3.0
10,2022-04-16,WSN,@,PIT,PIT,False,3.0
11,2022-04-17,WSN,@,PIT,PIT,False,3.0
12,2022-04-19,WSN,,ARI,PIT,True,4.0
13,2022-04-19,WSN,,ARI,ARI,False,4.0
14,2022-04-20,WSN,,ARI,ARI,False,4.0
15,2022-04-21,WSN,,ARI,ARI,False,4.0
16,2022-04-22,WSN,,SFG,ARI,True,5.0
17,2022-04-23,WSN,,SFG,SFG,False,5.0
18,2022-04-24,WSN,,SFG,SFG,False,5.0
19,2022-04-26,WSN,,MIA,SFG,True,6.0
20,2022-04-27,WSN,,MIA,MIA,False,6.0
21,2022-04-28,WSN,,MIA,MIA,False,6.0
22,2022-04-29,WSN,@,SFG,MIA,True,7.0
23,2022-04-30,WSN,@,SFG,SFG,False,7.0
24,2022-05-01,WSN,@,SFG,SFG,False,7.0
25,2022-05-03,WSN,@,COL,SFG,True,8.0
26,2022-05-04,WSN,@,COL,COL,False,8.0
27,2022-05-05,WSN,@,COL,COL,False,8.0
28,2022-05-06,WSN,@,LAA,COL,True,9.0
29,2022-05-07,WSN,@,LAA,LAA,False,9.0
30,2022-05-08,WSN,@,LAA,LAA,False,9.0
31,2022-05-10,WSN,,NYM,LAA,True,10.0
32,2022-05-11,WSN,,NYM,NYM,False,10.0
33,2022-05-12,WSN,,NYM,NYM,False,10.0
34,2022-05-13,WSN,,HOU,NYM,True,11.0
35,2022-05-14,WSN,,HOU,HOU,False,11.0
36,2022-05-15,WSN,,HOU,HOU,False,11.0
37,2022-05-16,WSN,@,MIA,HOU,True,12.0
38,2022-05-17,WSN,@,MIA,MIA,False,12.0
39,2022-05-18,WSN,@,MIA,MIA,False,12.0
40,2022-05-20,WSN,@,MIL,MIA,True,13.0
41,2022-05-21,WSN,@,MIL,MIL,False,13.0
42,2022-05-22,WSN,@,MIL,MIL,False,13.0
43,2022-05-23,WSN,,LAD,MIL,True,14.0
44,2022-05-24,WSN,,LAD,LAD,False,14.0
45,2022-05-25,WSN,,LAD,LAD,False,14.0
46,2022-05-26,WSN,,COL,LAD,True,15.0
47,2022-05-28,WSN,,COL,COL,False,15.0
48,2022-05-28,WSN,,COL,COL,False,15.0
49,2022-05-29,WSN,,COL,COL,False,15.0
50,2022-05-30,WSN,@,NYM,COL,True,16.0
51,2022-05-31,WSN,@,NYM,NYM,False,16.0
52,2022-06-01,WSN,@,NYM,NYM,False,16.0
53,2022-06-02,WSN,@,CIN,NYM,True,17.0
54,2022-06-03,WSN,@,CIN,CIN,False,17.0
55,2022-06-04,WSN,@,CIN,CIN,False,17.0
56,2022-06-05,WSN,@,CIN,CIN,False,17.0
57,2022-06-07,WSN,@,MIA,CIN,True,18.0
58,2022-06-08,WSN,@,MIA,MIA,False,18.0
59,2022-06-09,WSN,@,MIA,MIA,False,18.0
60,2022-06-10,WSN,,MIL,MIA,True,19.0
61,2022-06-11,WSN,,MIL,MIL,False,19.0
62,2022-06-12,WSN,,MIL,MIL,False,19.0
63,2022-06-13,WSN,,ATL,MIL,True,20.0
64,2022-06-14,WSN,,ATL,ATL,False,20.0
65,2022-06-15,WSN,,ATL,ATL,False,20.0
66,2022-06-16,WSN,,PHI,ATL,True,21.0
67,2022-06-17,WSN,,PHI,PHI,False,21.0
68,2022-06-17,WSN,,PHI,PHI,False,21.0
69,2022-06-18,WSN,,PHI,PHI,False,21.0
70,2022-06-19,WSN,,PHI,PHI,False,21.0
71,2022-06-21,WSN,@,BAL,PHI,True,22.0
72,2022-06-22,WSN,@,BAL,BAL,False,22.0
73,2022-06-24,WSN,@,TEX,BAL,True,23.0
74,2022-06-25,WSN,@,TEX,TEX,False,23.0
75,2022-06-26,WSN,@,TEX,TEX,False,23.0
76,2022-06-27,WSN,,PIT,TEX,True,24.0
77,2022-06-28,WSN,,PIT,PIT,False,24.0
78,2022-06-29,WSN,,PIT,PIT,False,24.0
79,2022-07-01,WSN,,MIA,PIT,True,25.0
80,2022-07-02,WSN,,MIA,MIA,False,25.0
81,2022-07-03,WSN,,MIA,MIA,False,25.0
82,2022-07-04,WSN,,MIA,MIA,False,25.0
83,2022-07-05,WSN,@,PHI,MIA,True,26.0
84,2022-07-06,WSN,@,PHI,PHI,False,26.0
85,2022-07-07,WSN,@,PHI,PHI,False,26.0
86,2022-07-08,WSN,@,ATL,PHI,True,27.0
87,2022-07-09,WSN,@,ATL,ATL,False,27.0
88,2022-07-10,WSN,@,ATL,ATL,False,27.0
89,2022-07-13,WSN,,SEA,ATL,True,28.0
90,2022-07-13,WSN,,SEA,SEA,False,28.0
91,2022-07-14,WSN,,ATL,SEA,True,29.0
92,2022-07-15,WSN,,ATL,ATL,False,29.0
93,2022-07-16,WSN,,ATL,ATL,False,29.0
94,2022-07-17,WSN,,ATL,ATL,False,29.0
95,2022-07-22,WSN,@,ARI,ATL,True,30.0
96,2022-07-23,WSN,@,ARI,ARI,False,30.0
97,2022-07-24,WSN,@,ARI,ARI,False,30.0
98,2022-07-25,WSN,@,LAD,ARI,True,31.0
99,2022-07-26,WSN,@,LAD,LAD,False,31.0
100,2022-07-27,WSN,@,LAD,LAD,False,31.0
101,2022-07-29,WSN,,STL,LAD,True,32.0
102,2022-07-30,WSN,,STL,STL,False,32.0
103,2022-07-31,WSN,,STL,STL,False,32.0
104,2022-08-01,WSN,,NYM,STL,True,33.0
105,2022-08-02,WSN,,NYM,NYM,False,33.0
106,2022-08-03,WSN,,NYM,NYM,False,33.0
107,2022-08-04,WSN,@,PHI,NYM,True,34.0
108,2022-08-05,WSN,@,PHI,PHI,False,34.0
109,2022-08-06,WSN,@,PHI,PHI,False,34.0
110,2022-08-07,WSN,@,PHI,PHI,False,34.0
111,2022-08-08,WSN,@,CHC,PHI,True,35.0
112,2022-08-09,WSN,@,CHC,CHC,False,35.0
113,2022-08-10,WSN,@,CHC,CHC,False,35.0
114,2022-08-12,WSN,,SDP,CHC,True,36.0
115,2022-08-13,WSN,,SDP,SDP,False,36.0
116,2022-08-14,WSN,,SDP,SDP,False,36.0
117,2022-08-15,WSN,,CHC,SDP,True,37.0
118,2022-08-16,WSN,,CHC,CHC,False,37.0
119,2022-08-17,WSN,,CHC,CHC,False,37.0
120,2022-08-18,WSN,@,SDP,CHC,True,38.0
121,2022-08-19,WSN,@,SDP,SDP,False,38.0
122,2022-08-20,WSN,@,SDP,SDP,False,38.0
123,2022-08-21,WSN,@,SDP,SDP,False,38.0
124,2022-08-23,WSN,@,SEA,SDP,True,39.0
125,2022-08-24,WSN,@,SEA,SEA,False,39.0
126,2022-08-26,WSN,,CIN,SEA,True,40.0
127,2022-08-27,WSN,,CIN,CIN,False,40.0
128,2022-08-28,WSN,,CIN,CIN,False,40.0
129,2022-08-30,WSN,,OAK,CIN,True,41.0
130,2022-08-31,WSN,,OAK,OAK,False,41.0
131,2022-09-01,WSN,,OAK,OAK,False,41.0
132,2022-09-02,WSN,@,NYM,OAK,True,42.0
133,2022-09-03,WSN,@,NYM,NYM,False,42.0
134,2022-09-04,WSN,@,NYM,NYM,False,42.0
135,2022-09-05,WSN,@,STL,NYM,True,43.0
136,2022-09-06,WSN,@,STL,STL,False,43.0
137,2022-09-07,WSN,@,STL,STL,False,43.0
138,2022-09-08,WSN,@,STL,STL,False,43.0
139,2022-09-09,WSN,@,PHI,STL,True,44.0
140,2022-09-10,WSN,@,PHI,PHI,False,44.0
141,2022-09-11,WSN,@,PHI,PHI,False,44.0
142,2022-09-13,WSN,,BAL,PHI,True,45.0
143,2022-09-14,WSN,,BAL,BAL,False,45.0
144,2022-09-16,WSN,,MIA,BAL,True,46.0
145,2022-09-17,WSN,,MIA,MIA,False,46.0
146,2022-09-18,WSN,,MIA,MIA,False,46.0
147,2022-09-19,WSN,@,ATL,MIA,True,47.0
148,2022-09-20,WSN,@,ATL,ATL,False,47.0
149,2022-09-21,WSN,@,ATL,ATL,False,47.0
150,2022-09-23,WSN,@,MIA,ATL,True,48.0
151,2022-09-24,WSN,@,MIA,MIA,False,48.0
152,2022-09-25,WSN,@,MIA,MIA,False,48.0
153,2022-09-26,WSN,,ATL,MIA,True,49.0
154,2022-09-27,WSN,,ATL,ATL,False,49.0
155,2022-09-28,WSN,,ATL,ATL,False,49.0
156,2022-09-30,WSN,,PHI,ATL,True,50.0
157,2022-10-01,WSN,,PHI,PHI,False,50.0
158,2022-10-01,WSN,,PHI,PHI,False,50.0
159,2022-10-02,WSN,,PHI,PHI,False,50.0
160,2022-10-04,WSN,@,NYM,PHI,True,51.0
161,2022-10-04,WSN,@,NYM,NYM,False,51.0
162,2022-10-05,WSN,@,NYM,NYM,False,51.0
