Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-08,LAD,@,COL,3:09,D,,COL
2,2022-04-09,LAD,@,COL,2:48,N,,COL
3,2022-04-10,LAD,@,COL,3:13,D,,COL
4,2022-04-12,LAD,@,MIN,4:00,N,,MIN
5,2022-04-13,LAD,@,MIN,2:34,D,,MIN
6,2022-04-14,LAD,,CIN,3:10,N,,LAD
7,2022-04-15,LAD,,CIN,3:15,N,,LAD
8,2022-04-16,LAD,,CIN,2:53,N,,LAD
9,2022-04-17,LAD,,CIN,3:02,D,,LAD
10,2022-04-18,LAD,,ATL,3:14,N,,LAD
11,2022-04-19,LAD,,ATL,2:49,N,,LAD
12,2022-04-20,LAD,,ATL,2:43,D,,LAD
13,2022-04-22,LAD,@,SDP,3:25,N,,SDP
14,2022-04-23,LAD,@,SDP,3:27,N,,SDP
15,2022-04-24,LAD,@,SDP,3:02,D,,SDP
16,2022-04-25,LAD,@,ARI,2:33,N,,ARI
17,2022-04-26,LAD,@,ARI,2:53,N,,ARI
18,2022-04-27,LAD,@,ARI,2:36,D,,ARI
19,2022-04-29,LAD,,DET,2:43,N,,LAD
20,2022-04-30,LAD,,DET,3:05,N,,LAD
21,2022-05-01,LAD,,DET,2:57,D,,LAD
22,2022-05-03,LAD,,SFG,3:05,N,,LAD
23,2022-05-04,LAD,,SFG,3:00,N,,LAD
24,2022-05-07,LAD,@,CHC,2:43,D,2022-05-06 (Rain),CHC
25,2022-05-07,LAD,@,CHC,3:05,N,,CHC
26,2022-05-08,LAD,@,CHC,2:57,N,,CHC
27,2022-05-09,LAD,@,PIT,2:41,N,,PIT
28,2022-05-10,LAD,@,PIT,3:02,N,,PIT
29,2022-05-11,LAD,@,PIT,3:20,D,,PIT
30,2022-05-12,LAD,,PHI,3:29,N,,LAD
31,2022-05-13,LAD,,PHI,4:18,N,,LAD
32,2022-05-14,LAD,,PHI,2:38,N,,LAD
33,2022-05-15,LAD,,PHI,3:33,D,,LAD
34,2022-05-16,LAD,,ARI,2:56,N,,LAD
35,2022-05-17,LAD,,ARI,3:10,D,,LAD
36,2022-05-17,LAD,,ARI,2:45,N,,LAD
37,2022-05-18,LAD,,ARI,3:01,D,,LAD
38,2022-05-20,LAD,@,PHI,3:44,N,,PHI
