Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
108,2022-08-07,TOR,@,MIN,3:41,D,,MIN
109,2022-08-08,TOR,@,BAL,2:55,N,,BAL
110,2022-08-09,TOR,@,BAL,3:02,N,,BAL
111,2022-08-12,TOR,,CLE,2:33,N,,TOR
112,2022-08-13,TOR,,CLE,2:55,D,,TOR
113,2022-08-14,TOR,,CLE,2:54,D,,TOR
114,2022-08-15,TOR,,BAL,3:20,N,,TOR
115,2022-08-16,TOR,,BAL,2:54,N,,TOR
116,2022-08-17,TOR,,BAL,2:47,D,,TOR
117,2022-08-18,TOR,@,NYY,3:09,N,,NYY
118,2022-08-19,TOR,@,NYY,2:52,N,,NYY
119,2022-08-20,TOR,@,NYY,3:11,D,,NYY
120,2022-08-21,TOR,@,NYY,2:59,D,,NYY
121,2022-08-23,TOR,@,BOS,3:18,N,,BOS
122,2022-08-24,TOR,@,BOS,3:12,N,,BOS
123,2022-08-25,TOR,@,BOS,4:22,N,,BOS
124,2022-08-26,TOR,,LAA,3:20,N,,TOR
125,2022-08-27,TOR,,LAA,3:20,D,,TOR
126,2022-08-28,TOR,,LAA,3:16,D,,TOR
127,2022-08-29,TOR,,CHC,3:43,N,,TOR
128,2022-08-30,TOR,,CHC,3:03,N,,TOR
129,2022-08-31,TOR,,CHC,3:07,N,,TOR
130,2022-09-02,TOR,@,PIT,3:24,N,,PIT
131,2022-09-03,TOR,@,PIT,3:06,N,,PIT
132,2022-09-04,TOR,@,PIT,3:02,D,,PIT
133,2022-09-05,TOR,@,BAL,3:17,D,2022-08-10 (Rain),BAL
134,2022-09-05,TOR,@,BAL,2:57,D,,BAL
135,2022-09-06,TOR,@,BAL,3:53,N,,BAL
136,2022-09-07,TOR,@,BAL,3:07,N,,BAL
137,2022-09-09,TOR,@,TEX,2:49,N,,TEX
138,2022-09-10,TOR,@,TEX,3:37,N,,TEX
139,2022-09-11,TOR,@,TEX,3:17,D,,TEX
140,2022-09-12,TOR,,TBR,2:39,N,,TOR
141,2022-09-13,TOR,,TBR,2:59,D,,TOR
142,2022-09-13,TOR,,TBR,3:03,N,,TOR
143,2022-09-14,TOR,,TBR,2:35,N,,TOR
144,2022-09-15,TOR,,TBR,3:06,D,,TOR
145,2022-09-16,TOR,,BAL,2:40,N,,TOR
146,2022-09-17,TOR,,BAL,3:00,D,,TOR
147,2022-09-18,TOR,,BAL,3:18,D,,TOR
148,2022-09-20,TOR,@,PHI,3:41,N,,PHI
149,2022-09-21,TOR,@,PHI,4:08,N,,PHI
150,2022-09-22,TOR,@,TBR,3:30,N,,TBR
151,2022-09-23,TOR,@,TBR,3:21,N,,TBR
152,2022-09-24,TOR,@,TBR,3:18,N,,TBR
153,2022-09-25,TOR,@,TBR,3:04,D,,TBR
154,2022-09-26,TOR,,NYY,3:29,N,,TOR
155,2022-09-27,TOR,,NYY,2:55,N,,TOR
156,2022-09-28,TOR,,NYY,3:20,N,,TOR
157,2022-09-30,TOR,,BOS,3:04,N,,TOR
158,2022-10-01,TOR,,BOS,3:09,D,,TOR
159,2022-10-02,TOR,,BOS,2:50,D,,TOR
160,2022-10-03,TOR,@,BAL,2:16,N,,BAL
161,2022-10-05,TOR,@,BAL,2:46,D,2022-10-04 (),BAL
162,2022-10-05,TOR,@,BAL,3:04,D,,BAL
