Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
107,2022-08-07,CHC,,MIA,2:36,D,,CHC
108,2022-08-08,CHC,,WSN,2:48,N,,CHC
109,2022-08-09,CHC,,WSN,3:17,N,,CHC
110,2022-08-10,CHC,,WSN,2:45,D,,CHC
111,2022-08-11,CHC,@,CIN,3:21,N,,CIN
112,2022-08-13,CHC,@,CIN,3:20,N,,CIN
113,2022-08-14,CHC,@,CIN,3:29,D,,CIN
114,2022-08-15,CHC,@,WSN,2:59,N,,WSN
115,2022-08-16,CHC,@,WSN,3:47,N,,WSN
116,2022-08-17,CHC,@,WSN,2:56,D,,WSN
117,2022-08-18,CHC,@,BAL,3:03,D,2022-06-08 (Rain),BAL
118,2022-08-19,CHC,,MIL,2:54,D,,CHC
119,2022-08-20,CHC,,MIL,3:51,D,,CHC
120,2022-08-21,CHC,,MIL,3:04,D,,CHC
121,2022-08-22,CHC,,STL,2:16,N,,CHC
122,2022-08-23,CHC,,STL,3:09,D,,CHC
123,2022-08-23,CHC,,STL,3:15,N,,CHC
124,2022-08-24,CHC,,STL,2:46,N,,CHC
125,2022-08-25,CHC,,STL,2:52,D,,CHC
126,2022-08-26,CHC,@,MIL,3:16,N,,MIL
127,2022-08-27,CHC,@,MIL,3:04,N,,MIL
128,2022-08-28,CHC,@,MIL,3:24,D,,MIL
129,2022-08-29,CHC,@,TOR,3:43,N,,TOR
130,2022-08-30,CHC,@,TOR,3:03,N,,TOR
131,2022-08-31,CHC,@,TOR,3:07,N,,TOR
132,2022-09-02,CHC,@,STL,3:06,N,,STL
133,2022-09-03,CHC,@,STL,3:02,N,,STL
134,2022-09-04,CHC,@,STL,2:22,D,,STL
135,2022-09-06,CHC,,CIN,3:08,N,,CHC
136,2022-09-07,CHC,,CIN,2:54,N,,CHC
137,2022-09-08,CHC,,CIN,3:14,D,,CHC
138,2022-09-09,CHC,,SFG,2:52,D,,CHC
139,2022-09-10,CHC,,SFG,2:43,D,,CHC
140,2022-09-11,CHC,,SFG,3:21,N,,CHC
141,2022-09-12,CHC,@,NYM,3:09,N,,NYM
142,2022-09-13,CHC,@,NYM,2:55,N,,NYM
143,2022-09-14,CHC,@,NYM,3:14,N,,NYM
144,2022-09-16,CHC,,COL,2:10,D,,CHC
145,2022-09-17,CHC,,COL,2:48,D,,CHC
146,2022-09-18,CHC,,COL,3:07,D,,CHC
147,2022-09-19,CHC,@,MIA,2:57,N,,MIA
148,2022-09-20,CHC,@,MIA,2:48,N,,MIA
149,2022-09-21,CHC,@,MIA,2:47,N,,MIA
150,2022-09-22,CHC,@,PIT,3:04,N,,PIT
151,2022-09-23,CHC,@,PIT,3:33,N,,PIT
152,2022-09-24,CHC,@,PIT,2:26,N,,PIT
153,2022-09-25,CHC,@,PIT,3:08,D,,PIT
154,2022-09-27,CHC,,PHI,2:15,N,,CHC
155,2022-09-28,CHC,,PHI,2:59,N,,CHC
156,2022-09-29,CHC,,PHI,2:55,D,,CHC
157,2022-09-30,CHC,,CIN,2:29,D,,CHC
158,2022-10-01,CHC,,CIN,2:32,D,,CHC
159,2022-10-02,CHC,,CIN,2:53,D,,CHC
160,2022-10-03,CHC,@,CIN,2:31,N,,CIN
161,2022-10-04,CHC,@,CIN,2:52,N,,CIN
162,2022-10-05,CHC,@,CIN,3:20,D,,CIN
