Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
108,2024-07-31,BOS,,SEA,3:11,D,,BOS
109,2024-08-02,BOS,@,TEX,2:46,N,,TEX
110,2024-08-03,BOS,@,TEX,3:08,N,,TEX
111,2024-08-04,BOS,@,TEX,2:46,D,,TEX
112,2024-08-05,BOS,@,KCR,2:46,N,,KCR
113,2024-08-06,BOS,@,KCR,2:51,N,,KCR
114,2024-08-07,BOS,@,KCR,2:34,N,,KCR
115,2024-08-09,BOS,,HOU,3:06,N,,BOS
116,2024-08-10,BOS,,HOU,2:30,D,,BOS
117,2024-08-11,BOS,,HOU,2:47,D,,BOS
118,2024-08-12,BOS,,TEX,3:34,N,,BOS
119,2024-08-13,BOS,,TEX,2:34,N,,BOS
120,2024-08-14,BOS,,TEX,3:01,N,,BOS
121,2024-08-15,BOS,@,BAL,2:27,N,,BAL
122,2024-08-16,BOS,@,BAL,3:36,N,,BAL
123,2024-08-17,BOS,@,BAL,2:43,N,,BAL
124,2024-08-18,BOS,@,BAL,2:41,D,,BAL
125,2024-08-19,BOS,@,HOU,2:46,N,,HOU
126,2024-08-20,BOS,@,HOU,2:47,N,,HOU
127,2024-08-21,BOS,@,HOU,2:34,D,,HOU
128,2024-08-23,BOS,,ARI,2:40,N,,BOS
129,2024-08-24,BOS,,ARI,2:44,D,,BOS
130,2024-08-25,BOS,,ARI,2:30,D,,BOS
131,2024-08-26,BOS,,TOR,2:32,N,,BOS
132,2024-08-27,BOS,,TOR,2:25,N,,BOS
133,2024-08-28,BOS,,TOR,2:05,N,,BOS
134,2024-08-29,BOS,,TOR,2:12,N,,BOS
135,2024-08-30,BOS,@,DET,2:40,N,,DET
136,2024-08-31,BOS,@,DET,2:01,N,,DET
137,2024-09-01,BOS,@,DET,2:22,D,,DET
138,2024-09-02,BOS,@,NYM,2:22,N,,NYM
139,2024-09-03,BOS,@,NYM,2:35,N,,NYM
140,2024-09-04,BOS,@,NYM,2:50,N,,NYM
141,2024-09-06,BOS,,CHW,2:23,N,,BOS
142,2024-09-07,BOS,,CHW,2:34,N,,BOS
143,2024-09-08,BOS,,CHW,2:35,D,,BOS
144,2024-09-09,BOS,,BAL,2:45,N,,BOS
145,2024-09-10,BOS,,BAL,2:52,N,,BOS
146,2024-09-11,BOS,,BAL,2:43,N,,BOS
147,2024-09-12,BOS,@,NYY,2:54,N,,NYY
148,2024-09-13,BOS,@,NYY,2:52,N,,NYY
149,2024-09-14,BOS,@,NYY,2:51,D,,NYY
150,2024-09-15,BOS,@,NYY,2:51,D,,NYY
151,2024-09-17,BOS,@,TBR,2:34,N,,TBR
152,2024-09-18,BOS,@,TBR,2:24,N,,TBR
153,2024-09-19,BOS,@,TBR,2:07,N,,TBR
154,2024-09-20,BOS,,MIN,3:58,N,,BOS
155,2024-09-22,BOS,,MIN,2:31,D,,BOS
156,2024-09-22,BOS,,MIN,2:41,N,,BOS
157,2024-09-23,BOS,@,TOR,2:35,N,,TOR
158,2024-09-24,BOS,@,TOR,3:15,N,,TOR
159,2024-09-25,BOS,@,TOR,2:30,N,,TOR
160,2024-09-27,BOS,,TBR,2:25,N,,BOS
161,2024-09-28,BOS,,TBR,2:28,D,,BOS
162,2024-09-29,BOS,,TBR,2:13,D,,BOS
