Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-07,CLE,@,KCR,2:49,D,,KCR
2,2022-04-09,CLE,@,KCR,2:49,D,,KCR
3,2022-04-10,CLE,@,KCR,3:09,D,,KCR
4,2022-04-11,CLE,@,KCR,3:37,D,,KCR
5,2022-04-12,CLE,@,CIN,3:30,D,,CIN
6,2022-04-13,CLE,@,CIN,3:07,D,,CIN
7,2022-04-15,CLE,,SFG,2:56,N,,CLE
8,2022-04-16,CLE,,SFG,3:19,N,,CLE
9,2022-04-17,CLE,,SFG,2:57,D,,CLE
10,2022-04-20,CLE,,CHW,2:41,D,2022-04-19 (Rain),CLE
11,2022-04-20,CLE,,CHW,3:01,D,,CLE
12,2022-04-21,CLE,,CHW,3:07,D,,CLE
13,2022-04-22,CLE,@,NYY,2:58,N,,NYY
14,2022-04-23,CLE,@,NYY,2:50,D,,NYY
15,2022-04-24,CLE,@,NYY,2:43,D,,NYY
16,2022-04-25,CLE,@,LAA,2:22,N,,LAA
17,2022-04-26,CLE,@,LAA,2:34,N,,LAA
18,2022-04-27,CLE,@,LAA,3:12,N,,LAA
19,2022-04-28,CLE,@,LAA,2:35,D,,LAA
20,2022-04-29,CLE,@,OAK,3:21,N,,OAK
21,2022-04-30,CLE,@,OAK,2:42,D,,OAK
22,2022-05-01,CLE,@,OAK,3:13,D,,OAK
23,2022-05-04,CLE,,SDP,3:15,D,2022-05-03 (Rain),CLE
24,2022-05-04,CLE,,SDP,3:46,D,,CLE
25,2022-05-05,CLE,,TOR,3:03,N,,CLE
26,2022-05-07,CLE,,TOR,3:23,D,2022-05-06 (Rain),CLE
27,2022-05-07,CLE,,TOR,2:55,D,,CLE
28,2022-05-08,CLE,,TOR,3:02,D,,CLE
29,2022-05-09,CLE,@,CHW,4:13,N,,CHW
30,2022-05-10,CLE,@,CHW,2:43,N,,CHW
31,2022-05-13,CLE,@,MIN,3:26,N,,MIN
32,2022-05-14,CLE,@,MIN,3:31,N,,MIN
33,2022-05-15,CLE,@,MIN,2:38,D,,MIN
34,2022-05-17,CLE,,CIN,3:22,N,,CLE
35,2022-05-19,CLE,,CIN,2:48,D,2022-05-18 (Rain),CLE
36,2022-05-20,CLE,,DET,2:38,N,,CLE
37,2022-05-22,CLE,,DET,2:46,D,,CLE
38,2022-05-23,CLE,@,HOU,3:02,N,,HOU
39,2022-05-24,CLE,@,HOU,2:45,N,,HOU
40,2022-05-25,CLE,@,HOU,3:00,N,,HOU
41,2022-05-26,CLE,@,DET,2:52,N,,DET
42,2022-05-28,CLE,@,DET,2:50,D,,DET
43,2022-05-29,CLE,@,DET,2:37,D,,DET
