Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,CHC,@,TEX,3:15,N,,TEX
2,2024-03-30,CHC,@,TEX,2:32,N,,TEX
3,2024-03-31,CHC,@,TEX,3:02,D,,TEX
4,2024-04-01,CHC,,COL,2:26,D,,CHC
5,2024-04-02,CHC,,COL,2:37,N,,CHC
6,2024-04-03,CHC,,COL,3:00,N,,CHC
7,2024-04-05,CHC,,LAD,2:57,D,,CHC
8,2024-04-06,CHC,,LAD,2:45,D,,CHC
9,2024-04-07,CHC,,LAD,2:32,D,,CHC
10,2024-04-08,CHC,@,SDP,2:56,N,,SDP
11,2024-04-09,CHC,@,SDP,2:51,N,,SDP
12,2024-04-10,CHC,@,SDP,2:30,D,,SDP
13,2024-04-12,CHC,@,SEA,2:35,N,,SEA
14,2024-04-13,CHC,@,SEA,2:24,N,,SEA
15,2024-04-14,CHC,@,SEA,2:35,D,,SEA
16,2024-04-15,CHC,@,ARI,3:16,N,,ARI
17,2024-04-16,CHC,@,ARI,3:38,N,,ARI
18,2024-04-17,CHC,@,ARI,2:26,D,,ARI
19,2024-04-19,CHC,,MIA,2:25,D,,CHC
20,2024-04-20,CHC,,MIA,2:38,D,,CHC
21,2024-04-20,CHC,,MIA,2:22,N,,CHC
22,2024-04-21,CHC,,MIA,2:34,D,,CHC
23,2024-04-23,CHC,,HOU,2:37,N,,CHC
24,2024-04-24,CHC,,HOU,2:45,N,,CHC
25,2024-04-25,CHC,,HOU,2:43,D,,CHC
26,2024-04-26,CHC,@,BOS,2:34,N,,BOS
27,2024-04-27,CHC,@,BOS,2:40,D,,BOS
28,2024-04-28,CHC,@,BOS,2:34,N,,BOS
29,2024-04-29,CHC,@,NYM,2:05,N,,NYM
30,2024-04-30,CHC,@,NYM,2:31,N,,NYM
31,2024-05-01,CHC,@,NYM,2:37,N,,NYM
32,2024-05-02,CHC,@,NYM,3:17,D,,NYM
33,2024-05-03,CHC,,MIL,2:37,D,,CHC
34,2024-05-04,CHC,,MIL,2:30,D,,CHC
35,2024-05-05,CHC,,MIL,2:23,D,,CHC
36,2024-05-06,CHC,,SDP,3:01,N,,CHC
37,2024-05-07,CHC,,SDP,2:31,N,,CHC
38,2024-05-08,CHC,,SDP,2:29,D,,CHC
39,2024-05-10,CHC,@,PIT,2:37,N,,PIT
40,2024-05-11,CHC,@,PIT,2:56,D,,PIT
41,2024-05-12,CHC,@,PIT,3:19,D,,PIT
42,2024-05-13,CHC,@,ATL,2:31,N,,ATL
43,2024-05-14,CHC,@,ATL,2:12,N,,ATL
44,2024-05-15,CHC,@,ATL,2:30,N,,ATL
45,2024-05-16,CHC,,PIT,2:27,N,,CHC
46,2024-05-17,CHC,,PIT,2:57,D,,CHC
47,2024-05-18,CHC,,PIT,2:10,D,,CHC
48,2024-05-19,CHC,,PIT,2:45,D,,CHC
49,2024-05-21,CHC,,ATL,3:14,N,,CHC
50,2024-05-22,CHC,,ATL,2:08,N,,CHC
51,2024-05-23,CHC,,ATL,2:34,D,,CHC
52,2024-05-25,CHC,@,STL,2:53,N,,STL
53,2024-05-26,CHC,@,STL,2:36,N,,STL
54,2024-05-27,CHC,@,MIL,2:17,D,,MIL
55,2024-05-28,CHC,@,MIL,3:09,N,,MIL
56,2024-05-29,CHC,@,MIL,2:32,N,,MIL
57,2024-05-30,CHC,@,MIL,2:33,D,,MIL
58,2024-05-31,CHC,,CIN,3:05,D,,CHC
59,2024-06-01,CHC,,CIN,2:46,N,,CHC
60,2024-06-02,CHC,,CIN,2:24,D,,CHC
61,2024-06-04,CHC,,CHW,2:28,N,,CHC
62,2024-06-05,CHC,,CHW,2:55,N,,CHC
63,2024-06-06,CHC,@,CIN,2:33,N,,CIN
64,2024-06-07,CHC,@,CIN,2:10,N,,CIN
65,2024-06-08,CHC,@,CIN,2:32,D,,CIN
66,2024-06-09,CHC,@,CIN,2:49,D,,CIN
67,2024-06-11,CHC,@,TBR,2:38,N,,TBR
68,2024-06-12,CHC,@,TBR,2:41,N,,TBR
69,2024-06-13,CHC,@,TBR,2:17,N,,TBR
70,2024-06-14,CHC,,STL,2:28,D,,CHC
71,2024-06-15,CHC,,STL,2:30,D,,CHC
72,2024-06-16,CHC,,STL,2:48,D,,CHC
73,2024-06-17,CHC,,SFG,3:06,N,,CHC
74,2024-06-18,CHC,,SFG,2:10,N,,CHC
75,2024-06-19,CHC,,SFG,2:45,D,,CHC
76,2024-06-21,CHC,,NYM,3:03,D,,CHC
77,2024-06-22,CHC,,NYM,2:30,D,,CHC
78,2024-06-23,CHC,,NYM,3:10,N,,CHC
79,2024-06-24,CHC,@,SFG,2:42,N,,SFG
80,2024-06-25,CHC,@,SFG,2:26,N,,SFG
81,2024-06-26,CHC,@,SFG,2:25,N,,SFG
82,2024-06-27,CHC,@,SFG,2:51,D,,SFG
83,2024-06-28,CHC,@,MIL,2:24,N,,MIL
84,2024-06-29,CHC,@,MIL,2:33,D,,MIL
85,2024-06-30,CHC,@,MIL,2:21,D,,MIL
86,2024-07-02,CHC,,PHI,2:27,N,,CHC
87,2024-07-03,CHC,,PHI,2:43,N,,CHC
88,2024-07-04,CHC,,PHI,2:23,D,,CHC
89,2024-07-05,CHC,,LAA,2:07,D,,CHC
90,2024-07-06,CHC,,LAA,2:29,D,,CHC
91,2024-07-07,CHC,,LAA,2:18,D,,CHC
92,2024-07-09,CHC,@,BAL,2:39,N,,BAL
93,2024-07-10,CHC,@,BAL,2:45,N,,BAL
94,2024-07-11,CHC,@,BAL,2:13,N,,BAL
95,2024-07-12,CHC,@,STL,2:56,N,,STL
96,2024-07-13,CHC,@,STL,2:27,D,,STL
97,2024-07-13,CHC,@,STL,2:41,N,,STL
98,2024-07-14,CHC,@,STL,2:20,D,,STL
99,2024-07-19,CHC,,ARI,2:54,D,,CHC
100,2024-07-20,CHC,,ARI,2:46,N,,CHC
101,2024-07-21,CHC,,ARI,2:30,D,,CHC
102,2024-07-22,CHC,,MIL,2:30,N,,CHC
103,2024-07-23,CHC,,MIL,2:37,N,,CHC
104,2024-07-24,CHC,,MIL,2:34,D,,CHC
105,2024-07-26,CHC,@,KCR,2:15,N,,KCR
106,2024-07-27,CHC,@,KCR,2:39,N,,KCR
107,2024-07-28,CHC,@,KCR,2:41,D,,KCR
108,2024-07-29,CHC,@,CIN,2:25,N,,CIN
109,2024-07-30,CHC,@,CIN,2:45,N,,CIN
110,2024-07-31,CHC,@,CIN,2:39,N,,CIN
111,2024-08-01,CHC,,STL,2:35,N,,CHC
112,2024-08-02,CHC,,STL,2:42,D,,CHC
113,2024-08-03,CHC,,STL,2:21,D,,CHC
114,2024-08-04,CHC,,STL,2:30,N,,CHC
115,2024-08-05,CHC,,MIN,2:16,N,,CHC
116,2024-08-06,CHC,,MIN,2:18,N,,CHC
117,2024-08-07,CHC,,MIN,2:44,D,,CHC
118,2024-08-09,CHC,@,CHW,2:51,N,,CHW
119,2024-08-10,CHC,@,CHW,2:56,N,,CHW
120,2024-08-12,CHC,@,CLE,2:52,N,,CLE
121,2024-08-13,CHC,@,CLE,2:32,N,,CLE
122,2024-08-14,CHC,@,CLE,2:24,N,,CLE
123,2024-08-16,CHC,,TOR,2:53,D,,CHC
124,2024-08-17,CHC,,TOR,2:31,D,,CHC
125,2024-08-18,CHC,,TOR,2:32,D,,CHC
126,2024-08-20,CHC,,DET,2:25,N,,CHC
127,2024-08-21,CHC,,DET,2:38,N,,CHC
128,2024-08-22,CHC,,DET,2:13,D,,CHC
129,2024-08-23,CHC,@,MIA,2:47,N,,MIA
130,2024-08-24,CHC,@,MIA,2:41,D,,MIA
131,2024-08-25,CHC,@,MIA,2:26,D,,MIA
132,2024-08-26,CHC,@,PIT,3:13,N,,PIT
133,2024-08-27,CHC,@,PIT,2:57,N,,PIT
134,2024-08-28,CHC,@,PIT,3:37,D,,PIT
135,2024-08-30,CHC,@,WSN,2:39,N,,WSN
136,2024-08-31,CHC,@,WSN,2:38,D,,WSN
137,2024-09-01,CHC,@,WSN,2:42,D,,WSN
138,2024-09-02,CHC,,PIT,2:18,N,,CHC
139,2024-09-03,CHC,,PIT,2:30,N,,CHC
140,2024-09-04,CHC,,PIT,2:10,N,,CHC
141,2024-09-06,CHC,,NYY,2:42,D,,CHC
142,2024-09-07,CHC,,NYY,2:34,D,,CHC
143,2024-09-08,CHC,,NYY,2:18,D,,CHC
144,2024-09-09,CHC,@,LAD,2:50,N,,LAD
145,2024-09-10,CHC,@,LAD,2:36,N,,LAD
146,2024-09-11,CHC,@,LAD,2:56,N,,LAD
147,2024-09-13,CHC,@,COL,2:23,N,,COL
148,2024-09-14,CHC,@,COL,2:44,N,,COL
149,2024-09-15,CHC,@,COL,3:12,D,,COL
150,2024-09-16,CHC,,OAK,2:33,N,,CHC
151,2024-09-17,CHC,,OAK,2:48,N,,CHC
152,2024-09-18,CHC,,OAK,2:40,D,,CHC
153,2024-09-19,CHC,,WSN,2:51,N,,CHC
154,2024-09-20,CHC,,WSN,2:19,D,,CHC
155,2024-09-21,CHC,,WSN,2:23,D,,CHC
156,2024-09-22,CHC,,WSN,2:34,D,,CHC
157,2024-09-23,CHC,@,PHI,2:34,N,,PHI
158,2024-09-24,CHC,@,PHI,2:44,N,,PHI
159,2024-09-25,CHC,@,PHI,2:44,N,,PHI
160,2024-09-27,CHC,,CIN,1:48,D,,CHC
161,2024-09-28,CHC,,CIN,2:13,D,,CHC
162,2024-09-29,CHC,,CIN,3:01,D,,CHC
