Gm#,Date,Tm,@,Opp,away,lag,seg_start,seg
1,2022-04-07,NYM,@,WSN,1,,True,1.0
2,2022-04-08,NYM,@,WSN,1,1.0,False,1.0
3,2022-04-09,NYM,@,WSN,1,1.0,False,1.0
4,2022-04-10,NYM,@,WSN,1,1.0,False,1.0
5,2022-04-11,NYM,@,PHI,1,1.0,False,1.0
6,2022-04-12,NYM,@,PHI,1,1.0,False,1.0
7,2022-04-13,NYM,@,PHI,1,1.0,False,1.0
8,2022-04-15,NYM,,ARI,0,1.0,True,2.0
9,2022-04-16,NYM,,ARI,0,0.0,False,2.0
10,2022-04-17,NYM,,ARI,0,0.0,False,2.0
11,2022-04-19,NYM,,SFG,0,0.0,False,2.0
12,2022-04-19,NYM,,SFG,0,0.0,False,2.0
13,2022-04-20,NYM,,SFG,0,0.0,False,2.0
14,2022-04-21,NYM,,SFG,0,0.0,False,2.0
15,2022-04-22,NYM,@,ARI,1,0.0,True,3.0
16,2022-04-23,NYM,@,ARI,1,1.0,False,3.0
17,2022-04-24,NYM,@,ARI,1,1.0,False,3.0
18,2022-04-25,NYM,@,STL,1,1.0,False,3.0
19,2022-04-26,NYM,@,STL,1,1.0,False,3.0
20,2022-04-27,NYM,@,STL,1,1.0,False,3.0
21,2022-04-29,NYM,,PHI,0,1.0,True,4.0
22,2022-04-30,NYM,,PHI,0,0.0,False,4.0
23,2022-05-01,NYM,,PHI,0,0.0,False,4.0
24,2022-05-02,NYM,,ATL,0,0.0,False,4.0
25,2022-05-03,NYM,,ATL,0,0.0,False,4.0
26,2022-05-03,NYM,,ATL,0,0.0,False,4.0
27,2022-05-04,NYM,,ATL,0,0.0,False,4.0
28,2022-05-05,NYM,@,PHI,1,0.0,True,5.0
29,2022-05-08,NYM,@,PHI,1,1.0,False,5.0
30,2022-05-08,NYM,@,PHI,1,1.0,False,5.0
31,2022-05-10,NYM,@,WSN,1,1.0,False,5.0
32,2022-05-11,NYM,@,WSN,1,1.0,False,5.0
33,2022-05-12,NYM,@,WSN,1,1.0,False,5.0
34,2022-05-13,NYM,,SEA,0,1.0,True,6.0
35,2022-05-14,NYM,,SEA,0,0.0,False,6.0
36,2022-05-15,NYM,,SEA,0,0.0,False,6.0
