Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2022-04-08,OAK,@,PHI,3:14,D,,PHI
2,2022-04-09,OAK,@,PHI,2:37,D,,PHI
3,2022-04-10,OAK,@,PHI,2:57,D,,PHI
4,2022-04-11,OAK,@,TBR,3:00,N,,TBR
5,2022-04-12,OAK,@,TBR,4:12,N,,TBR
6,2022-04-13,OAK,@,TBR,3:02,N,,TBR
7,2022-04-14,OAK,@,TBR,2:33,D,,TBR
8,2022-04-15,OAK,@,TOR,3:00,N,,TOR
9,2022-04-16,OAK,@,TOR,3:05,D,,TOR
10,2022-04-17,OAK,@,TOR,3:05,D,,TOR
11,2022-04-18,OAK,,BAL,2:59,N,,OAK
12,2022-04-19,OAK,,BAL,3:11,N,,OAK
13,2022-04-20,OAK,,BAL,3:02,D,,OAK
14,2022-04-21,OAK,,BAL,2:50,D,,OAK
15,2022-04-22,OAK,,TEX,3:05,N,,OAK
16,2022-04-23,OAK,,TEX,2:41,D,,OAK
17,2022-04-24,OAK,,TEX,2:56,D,,OAK
18,2022-04-26,OAK,@,SFG,3:01,N,,SFG
19,2022-04-27,OAK,@,SFG,3:00,N,,SFG
20,2022-04-29,OAK,,CLE,3:21,N,,OAK
21,2022-04-30,OAK,,CLE,2:42,D,,OAK
22,2022-05-01,OAK,,CLE,3:13,D,,OAK
23,2022-05-02,OAK,,TBR,2:37,N,,OAK
24,2022-05-03,OAK,,TBR,3:21,N,,OAK
25,2022-05-04,OAK,,TBR,2:39,D,,OAK
26,2022-05-06,OAK,@,MIN,2:44,N,,MIN
27,2022-05-07,OAK,@,MIN,2:55,D,,MIN
28,2022-05-08,OAK,@,MIN,3:19,D,,MIN
29,2022-05-09,OAK,@,DET,2:49,N,,DET
30,2022-05-10,OAK,@,DET,2:56,D,,DET
31,2022-05-10,OAK,@,DET,2:59,D,,DET
32,2022-05-11,OAK,@,DET,3:04,N,,DET
33,2022-05-12,OAK,@,DET,2:57,D,,DET
34,2022-05-13,OAK,,LAA,2:30,N,,OAK
35,2022-05-14,OAK,,LAA,3:18,D,,OAK
36,2022-05-14,OAK,,LAA,2:47,N,,OAK
37,2022-05-15,OAK,,LAA,3:29,D,,OAK
38,2022-05-16,OAK,,MIN,2:54,N,,OAK
39,2022-05-17,OAK,,MIN,3:20,N,,OAK
40,2022-05-18,OAK,,MIN,3:25,D,,OAK
41,2022-05-20,OAK,@,LAA,3:24,N,,LAA
42,2022-05-21,OAK,@,LAA,3:12,N,,LAA
43,2022-05-22,OAK,@,LAA,2:49,D,,LAA
44,2022-05-23,OAK,@,SEA,3:24,N,,SEA
45,2022-05-24,OAK,@,SEA,3:25,N,,SEA
46,2022-05-25,OAK,@,SEA,3:10,D,,SEA
47,2022-05-26,OAK,,TEX,2:44,N,,OAK
48,2022-05-27,OAK,,TEX,2:54,N,,OAK
49,2022-05-28,OAK,,TEX,3:15,D,,OAK
50,2022-05-29,OAK,,TEX,3:38,D,,OAK
51,2022-05-30,OAK,,HOU,2:58,D,,OAK
52,2022-05-31,OAK,,HOU,3:23,N,,OAK
53,2022-06-01,OAK,,HOU,3:07,D,,OAK
54,2022-06-03,OAK,,BOS,3:15,N,,OAK
55,2022-06-04,OAK,,BOS,3:07,D,,OAK
56,2022-06-05,OAK,,BOS,3:01,D,,OAK
57,2022-06-07,OAK,@,ATL,2:19,N,,ATL
58,2022-06-08,OAK,@,ATL,2:47,N,,ATL
59,2022-06-09,OAK,@,CLE,3:23,N,,CLE
60,2022-06-10,OAK,@,CLE,2:50,N,,CLE
61,2022-06-11,OAK,@,CLE,3:08,D,,CLE
62,2022-06-12,OAK,@,CLE,2:31,D,,CLE
63,2022-06-14,OAK,@,BOS,2:43,N,,BOS
64,2022-06-15,OAK,@,BOS,3:08,N,,BOS
65,2022-06-16,OAK,@,BOS,3:15,D,,BOS
66,2022-06-17,OAK,,KCR,3:28,N,,OAK
67,2022-06-18,OAK,,KCR,2:46,D,,OAK
68,2022-06-19,OAK,,KCR,2:46,D,,OAK
69,2022-06-21,OAK,,SEA,3:03,N,,OAK
70,2022-06-22,OAK,,SEA,3:13,N,,OAK
71,2022-06-23,OAK,,SEA,2:54,D,,OAK
72,2022-06-24,OAK,@,KCR,2:22,N,,KCR
73,2022-06-25,OAK,@,KCR,3:46,D,,KCR
74,2022-06-26,OAK,@,KCR,2:43,D,,KCR
75,2022-06-27,OAK,@,NYY,3:24,N,,NYY
76,2022-06-28,OAK,@,NYY,3:03,N,,NYY
77,2022-06-29,OAK,@,NYY,2:52,D,,NYY
78,2022-06-30,OAK,@,SEA,2:53,N,,SEA
79,2022-07-01,OAK,@,SEA,3:00,N,,SEA
80,2022-07-02,OAK,@,SEA,2:50,D,,SEA
81,2022-07-03,OAK,@,SEA,2:28,D,,SEA
82,2022-07-04,OAK,,TOR,2:27,N,,OAK
83,2022-07-05,OAK,,TOR,2:40,N,,OAK
84,2022-07-06,OAK,,TOR,2:39,D,,OAK
85,2022-07-08,OAK,,HOU,2:57,N,,OAK
86,2022-07-09,OAK,,HOU,2:33,D,,OAK
87,2022-07-10,OAK,,HOU,2:39,D,,OAK
88,2022-07-11,OAK,@,TEX,3:28,N,,TEX
89,2022-07-12,OAK,@,TEX,4:03,N,,TEX
90,2022-07-13,OAK,@,TEX,2:34,N,,TEX
91,2022-07-15,OAK,@,HOU,2:39,N,,HOU
92,2022-07-16,OAK,@,HOU,2:35,D,,HOU
93,2022-07-17,OAK,@,HOU,3:16,D,,HOU
94,2022-07-21,OAK,,DET,2:58,D,,OAK
95,2022-07-21,OAK,,DET,2:45,D,,OAK
96,2022-07-22,OAK,,TEX,2:53,N,,OAK
97,2022-07-23,OAK,,TEX,3:14,N,,OAK
98,2022-07-24,OAK,,TEX,3:22,D,,OAK
99,2022-07-25,OAK,,HOU,2:55,N,,OAK
100,2022-07-26,OAK,,HOU,3:04,N,,OAK
101,2022-07-27,OAK,,HOU,2:27,D,,OAK
102,2022-07-29,OAK,@,CHW,2:54,N,,CHW
103,2022-07-30,OAK,@,CHW,2:50,N,,CHW
104,2022-07-31,OAK,@,CHW,2:42,D,,CHW
105,2022-08-02,OAK,@,LAA,2:33,N,,LAA
106,2022-08-03,OAK,@,LAA,3:08,N,,LAA
107,2022-08-04,OAK,@,LAA,3:27,D,,LAA
108,2022-08-06,OAK,,SFG,3:21,D,,OAK
109,2022-08-07,OAK,,SFG,3:18,D,,OAK
110,2022-08-08,OAK,,LAA,2:14,N,,OAK
111,2022-08-09,OAK,,LAA,3:15,N,,OAK
112,2022-08-10,OAK,,LAA,3:45,D,,OAK
113,2022-08-12,OAK,@,HOU,3:19,N,,HOU
114,2022-08-13,OAK,@,HOU,2:51,N,,HOU
115,2022-08-14,OAK,@,HOU,2:40,D,,HOU
116,2022-08-15,OAK,@,TEX,3:10,N,,TEX
117,2022-08-16,OAK,@,TEX,3:07,N,,TEX
118,2022-08-17,OAK,@,TEX,3:00,N,,TEX
119,2022-08-18,OAK,@,TEX,2:52,D,,TEX
120,2022-08-19,OAK,,SEA,2:44,N,,OAK
121,2022-08-20,OAK,,SEA,3:19,D,,OAK
122,2022-08-21,OAK,,SEA,3:28,D,,OAK
123,2022-08-22,OAK,,MIA,2:44,N,,OAK
124,2022-08-23,OAK,,MIA,2:46,N,,OAK
125,2022-08-24,OAK,,MIA,2:40,D,,OAK
126,2022-08-25,OAK,,NYY,3:34,N,,OAK
127,2022-08-26,OAK,,NYY,2:50,N,,OAK
128,2022-08-27,OAK,,NYY,3:07,N,,OAK
129,2022-08-28,OAK,,NYY,3:19,D,,OAK
130,2022-08-30,OAK,@,WSN,3:24,N,,WSN
131,2022-08-31,OAK,@,WSN,2:51,N,,WSN
132,2022-09-01,OAK,@,WSN,4:02,D,,WSN
133,2022-09-02,OAK,@,BAL,2:46,N,,BAL
134,2022-09-03,OAK,@,BAL,3:17,N,,BAL
135,2022-09-04,OAK,@,BAL,2:59,D,,BAL
136,2022-09-06,OAK,,ATL,3:09,N,,OAK
137,2022-09-07,OAK,,ATL,3:06,D,,OAK
138,2022-09-08,OAK,,CHW,3:16,N,,OAK
139,2022-09-09,OAK,,CHW,2:53,N,,OAK
140,2022-09-10,OAK,,CHW,3:43,D,,OAK
141,2022-09-11,OAK,,CHW,2:44,D,,OAK
142,2022-09-13,OAK,@,TEX,2:51,N,,TEX
143,2022-09-14,OAK,@,TEX,3:40,N,,TEX
144,2022-09-15,OAK,@,HOU,3:14,N,,HOU
145,2022-09-16,OAK,@,HOU,3:01,N,,HOU
146,2022-09-17,OAK,@,HOU,2:28,N,,HOU
147,2022-09-18,OAK,@,HOU,3:09,D,,HOU
148,2022-09-20,OAK,,SEA,2:49,N,,OAK
149,2022-09-21,OAK,,SEA,2:39,N,,OAK
150,2022-09-22,OAK,,SEA,3:22,D,,OAK
151,2022-09-23,OAK,,NYM,2:31,N,,OAK
152,2022-09-24,OAK,,NYM,2:55,D,,OAK
153,2022-09-25,OAK,,NYM,3:07,D,,OAK
154,2022-09-27,OAK,@,LAA,3:14,N,,LAA
155,2022-09-28,OAK,@,LAA,3:23,N,,LAA
156,2022-09-29,OAK,@,LAA,3:07,N,,LAA
157,2022-09-30,OAK,@,SEA,2:47,N,,SEA
158,2022-10-01,OAK,@,SEA,2:36,D,,SEA
159,2022-10-02,OAK,@,SEA,3:11,D,,SEA
160,2022-10-03,OAK,,LAA,3:49,N,,OAK
161,2022-10-04,OAK,,LAA,3:07,N,,OAK
162,2022-10-05,OAK,,LAA,2:44,D,,OAK
