Gm#,Date,Tm,@,Opp,Time,D/N,Orig. Scheduled,location
1,2024-03-28,LAA,@,BAL,2:43,D,,BAL
2,2024-03-30,LAA,@,BAL,2:55,D,,BAL
3,2024-03-31,LAA,@,BAL,2:19,D,,BAL
4,2024-04-01,LAA,@,MIA,2:52,N,,MIA
5,2024-04-02,LAA,@,MIA,2:18,N,,MIA
6,2024-04-03,LAA,@,MIA,2:46,D,,MIA
7,2024-04-05,LAA,,BOS,3:11,N,,LAA
8,2024-04-06,LAA,,BOS,2:42,N,,LAA
9,2024-04-07,LAA,,BOS,2:56,D,,LAA
10,2024-04-08,LAA,,TBR,2:14,N,,LAA
11,2024-04-09,LAA,,TBR,2:46,N,,LAA
12,2024-04-10,LAA,,TBR,2:32,D,,LAA
13,2024-04-12,LAA,@,BOS,2:20,N,,BOS
14,2024-04-13,LAA,@,BOS,2:28,D,,BOS
15,2024-04-14,LAA,@,BOS,2:55,D,,BOS
16,2024-04-15,LAA,@,TBR,2:34,N,,TBR
17,2024-04-16,LAA,@,TBR,3:29,N,,TBR
18,2024-04-17,LAA,@,TBR,2:42,N,,TBR
19,2024-04-18,LAA,@,TBR,2:15,D,,TBR
20,2024-04-19,LAA,@,CIN,2:12,N,,CIN
21,2024-04-20,LAA,@,CIN,2:50,N,,CIN
22,2024-04-21,LAA,@,CIN,2:36,D,,CIN
23,2024-04-22,LAA,,BAL,2:36,N,,LAA
24,2024-04-23,LAA,,BAL,2:45,N,,LAA
25,2024-04-24,LAA,,BAL,2:57,D,,LAA
26,2024-04-26,LAA,,MIN,2:50,N,,LAA
27,2024-04-27,LAA,,MIN,3:05,N,,LAA
28,2024-04-28,LAA,,MIN,3:01,D,,LAA
29,2024-04-29,LAA,,PHI,2:43,N,,LAA
30,2024-04-30,LAA,,PHI,2:48,N,,LAA
31,2024-05-01,LAA,,PHI,2:53,D,,LAA
32,2024-05-03,LAA,@,CLE,2:41,N,,CLE
33,2024-05-04,LAA,@,CLE,2:15,N,,CLE
34,2024-05-05,LAA,@,CLE,2:15,D,,CLE
35,2024-05-06,LAA,@,PIT,1:55,N,,PIT
36,2024-05-07,LAA,@,PIT,2:31,N,,PIT
37,2024-05-08,LAA,@,PIT,2:29,D,,PIT
38,2024-05-09,LAA,,KCR,2:44,N,,LAA
39,2024-05-10,LAA,,KCR,2:38,N,,LAA
40,2024-05-11,LAA,,KCR,2:21,N,,LAA
41,2024-05-12,LAA,,KCR,2:18,D,,LAA
42,2024-05-13,LAA,,STL,2:54,N,,LAA
43,2024-05-14,LAA,,STL,2:55,N,,LAA
44,2024-05-15,LAA,,STL,2:57,N,,LAA
45,2024-05-17,LAA,@,TEX,2:50,N,,TEX
46,2024-05-18,LAA,@,TEX,3:44,N,,TEX
47,2024-05-19,LAA,@,TEX,2:23,D,,TEX
48,2024-05-20,LAA,@,HOU,2:36,N,,HOU
49,2024-05-21,LAA,@,HOU,2:58,N,,HOU
50,2024-05-22,LAA,@,HOU,2:18,D,,HOU
51,2024-05-24,LAA,,CLE,2:40,N,,LAA
52,2024-05-25,LAA,,CLE,2:22,N,,LAA
53,2024-05-26,LAA,,CLE,2:33,D,,LAA
54,2024-05-28,LAA,,NYY,2:25,N,,LAA
55,2024-05-29,LAA,,NYY,2:23,N,,LAA
56,2024-05-30,LAA,,NYY,2:41,N,,LAA
57,2024-05-31,LAA,@,SEA,2:32,N,,SEA
58,2024-06-01,LAA,@,SEA,2:47,D,,SEA
59,2024-06-02,LAA,@,SEA,2:39,D,,SEA
60,2024-06-03,LAA,,SDP,2:17,N,,LAA
61,2024-06-04,LAA,,SDP,2:29,N,,LAA
62,2024-06-05,LAA,,SDP,2:18,N,,LAA
63,2024-06-07,LAA,,HOU,2:19,N,,LAA
64,2024-06-08,LAA,,HOU,2:48,N,,LAA
65,2024-06-09,LAA,,HOU,3:13,D,,LAA
66,2024-06-11,LAA,@,ARI,3:17,N,,ARI
67,2024-06-12,LAA,@,ARI,2:42,N,,ARI
68,2024-06-13,LAA,@,ARI,2:36,N,,ARI
69,2024-06-14,LAA,@,SFG,2:56,N,,SFG
70,2024-06-15,LAA,@,SFG,2:37,D,,SFG
71,2024-06-16,LAA,@,SFG,2:48,D,,SFG
72,2024-06-17,LAA,,MIL,2:27,N,,LAA
73,2024-06-18,LAA,,MIL,2:47,N,,LAA
74,2024-06-19,LAA,,MIL,2:22,N,,LAA
75,2024-06-21,LAA,@,LAD,2:40,N,,LAD
76,2024-06-22,LAA,@,LAD,2:10,N,,LAD
77,2024-06-24,LAA,,OAK,2:23,N,,LAA
78,2024-06-25,LAA,,OAK,2:47,N,,LAA
79,2024-06-26,LAA,,OAK,2:37,D,,LAA
80,2024-06-27,LAA,,DET,2:05,N,,LAA
81,2024-06-28,LAA,,DET,2:16,N,,LAA
82,2024-06-29,LAA,,DET,2:50,N,,LAA
83,2024-06-30,LAA,,DET,2:42,D,,LAA
84,2024-07-02,LAA,@,OAK,2:40,N,,OAK
85,2024-07-03,LAA,@,OAK,2:14,N,,OAK
86,2024-07-04,LAA,@,OAK,2:38,D,,OAK
87,2024-07-05,LAA,@,CHC,2:07,D,,CHC
88,2024-07-06,LAA,@,CHC,2:29,D,,CHC
89,2024-07-07,LAA,@,CHC,2:18,D,,CHC
90,2024-07-08,LAA,,TEX,2:38,N,,LAA
91,2024-07-09,LAA,,TEX,2:31,N,,LAA
92,2024-07-10,LAA,,TEX,2:30,N,,LAA
93,2024-07-11,LAA,,SEA,2:30,N,,LAA
