Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
68,Thursday Jun 23,boxscore,LAD,@,CIN,W,10,5,,43-25,1,up 1.0,Kershaw,Greene,,3:14,D,21989,1.12,+++,
69,Friday Jun 24,boxscore,LAD,@,ATL,W,4,1,,44-25,1,up 1.0,Urías,Anderson,Kimbrel,3:09,N,42105,1.19,++++,
70,Saturday Jun 25,boxscore,LAD,@,ATL,L,3,5,,44-26,1,up 1.0,Minter,Graterol,Jansen,3:12,N,42161,1.13,-,
71,Sunday Jun 26,boxscore,LAD,@,ATL,W,5,3,11,45-26,1,up 2.0,Kimbrel,O'Day,Graterol,4:23,N,42217,1.17,+,
72,Monday Jun 27,boxscore,LAD,@,COL,L,0,4,,45-27,1,up 1.5,Kuhl,Anderson,,2:19,N,38706,1.06,-,
73,Tuesday Jun 28,boxscore,LAD,@,COL,L,4,7,,45-28,1,up 1.5,Freeland,Kershaw,,2:45,N,36097,1.12,--,
74,Wednesday Jun 29,boxscore,LAD,@,COL,W,8,4,,46-28,1,up 1.5,Urías,Márquez,,2:56,N,37092,1.19,+,
75,Thursday Jun 30,boxscore,LAD,,SDP,W,3,1,,47-28,1,up 2.5,Phillips,Musgrove,Kimbrel,2:50,N,53094,1.44,++,
76,Friday Jul 1,boxscore,LAD,,SDP,W,5,1,,48-28,1,up 3.5,Gonsolin,Stammen,,2:56,N,48076,1.41,+++,
77,Saturday Jul 2,boxscore,LAD,,SDP,W,7,2,,49-28,1,up 4.5,Anderson,Darvish,,3:17,D,47061,1.39,++++,
78,Sunday Jul 3,boxscore,LAD,,SDP,L,2,4,,49-29,1,up 3.5,Martinez,Kimbrel,Rogers,3:12,D,42633,1.27,-,
79,Monday Jul 4,boxscore,LAD,,COL,W,5,3,,50-29,1,up 4.5,Urías,Freeland,Almonte,3:06,N,47163,1.08,+,
80,Tuesday Jul 5,boxscore,LAD,,COL,W,5,2,,51-29,1,up 5.5,Pepiot,Márquez,Graterol,3:00,N,45885,1.06,++,
81,Wednesday Jul 6,boxscore,LAD,,COL,W-wo,2,1,,52-29,1,up 6.0,Kimbrel,Bard,,3:01,N,45098,.94,+++,
82,Thursday Jul 7,boxscore,LAD,,CHC,W,5,3,,53-29,1,up 6.0,Gonsolin,Leiter,Vesia,2:55,N,52072,.88,++++,
83,Friday Jul 8,boxscore,LAD,,CHC,W-wo,4,3,10,54-29,1,up 6.0,Phillips,Wick,,3:01,N,44158,.81,+++++,
84,Saturday Jul 9,boxscore,LAD,,CHC,W,4,2,,55-29,1,up 7.0,Kershaw,Wick,Kimbrel,2:41,N,45198,.79,++++++,
85,Sunday Jul 10,boxscore,LAD,,CHC,W,11,9,,56-29,1,up 8.0,Bickford,Leiter,Graterol,3:59,D,41824,.73,+++++++,
86,Tuesday Jul 12,boxscore,LAD,@,STL,L,6,7,,56-30,1,up 7.5,Oviedo,White,Gallegos,3:28,N,37150,.70,-,
87,Wednesday Jul 13,boxscore,LAD,@,STL,W,7,6,,57-30,1,up 8.5,Kimbrel,Gallegos,Phillips,3:46,N,39292,.79,+,
88,Thursday Jul 14,boxscore,LAD,@,STL,W,4,0,,58-30,1,up 9.5,Anderson,Hudson,,3:00,N,40062,.69,++,
89,Friday Jul 15,boxscore,LAD,@,LAA,W,9,1,,59-30,1,up 9.5,Kershaw,Sandoval,,3:01,N,44648,.54,+++,
90,Saturday Jul 16,boxscore,LAD,@,LAA,W,7,1,,60-30,1,up 9.5,Urías,Suarez,,3:07,N,44728,.47,++++,
91,Thursday Jul 21,boxscore,LAD,,SFG,W,9,6,,61-30,1,up10.5,Phillips,Leone,Kimbrel,3:29,N,53165,.51,+++++,
92,Friday Jul 22,boxscore,LAD,,SFG,W,5,1,,62-30,1,up10.5,Vesia,Long,,3:04,N,51316,.48,++++++,
93,Saturday Jul 23,boxscore,LAD,,SFG,W,4,2,,63-30,1,up10.5,Urías,Wood,Price,3:21,D,47749,.39,+++++++,
94,Sunday Jul 24,boxscore,LAD,,SFG,W,7,4,,64-30,1,up11.5,Phillips,Leone,Kimbrel,3:25,D,47505,.37,++++++++,
95,Monday Jul 25,boxscore,LAD,,WSN,L,1,4,,64-31,1,up11.5,Machado,Gonsolin,Finnegan,3:14,N,48647,.30,-,
96,Tuesday Jul 26,boxscore,LAD,,WSN,L,3,8,,64-32,1,up10.5,Ramírez,Cleavinger,,3:27,N,53302,.31,--,
97,Wednesday Jul 27,boxscore,LAD,,WSN,W,7,1,,65-32,1,up11.5,Vesia,Corbin,,3:03,D,44229,.38,+,
98,Thursday Jul 28,boxscore,LAD,@,COL,W,13,0,,66-32,1,up12.0,Anderson,Ureña,,3:06,N,32182,.33,++,
99,Friday Jul 29,boxscore,LAD,@,COL,W,5,4,,67-32,1,up12.0,Urías,Kuhl,Kimbrel,3:12,N,41656,.27,+++,
100,Saturday Jul 30,boxscore,LAD,@,COL,L,3,5,,67-33,1,up12.0,Freeland,Kershaw,Bard,2:43,N,47415,.29,-,
101,Sunday Jul 31,boxscore,LAD,@,COL,W,7,3,,68-33,1,up12.0,Gonsolin,Márquez,,3:11,D,36212,.31,+,
102,Monday Aug 1,boxscore,LAD,@,SFG,W,8,2,,69-33,1,up12.0,Ferguson,Webb,,2:50,N,34865,.27,++,
103,Tuesday Aug 2,boxscore,LAD,@,SFG,W,9,5,,70-33,1,up11.5,Anderson,Wood,,3:03,N,32798,.26,+++,
104,Wednesday Aug 3,boxscore,LAD,@,SFG,W,3,0,,71-33,1,up11.5,Urías,Cobb,Kimbrel,3:06,N,35400,.22,++++,
105,Thursday Aug 4,boxscore,LAD,@,SFG,W,5,3,,72-33,1,up12.5,Martin,Junis,Kimbrel,3:08,D,34640,.17,+++++,
106,Friday Aug 5,boxscore,LAD,,SDP,W,8,1,,73-33,1,up13.5,Gonsolin,Manaea,,3:03,N,52714,.21,++++++,
107,Saturday Aug 6,boxscore,LAD,,SDP,W,8,3,,74-33,1,up14.5,Martin,Clevinger,,3:08,N,52124,.15,+++++++,
108,Sunday Aug 7,boxscore,LAD,,SDP,W,4,0,,75-33,1,up15.5,Anderson,Darvish,,2:48,D,48093,.11,++++++++,
109,Tuesday Aug 9,boxscore,LAD,,MIN,W,10,3,,76-33,1,up16.0,Urías,Ryan,,3:13,N,47874,.07,+++++++++,
110,Wednesday Aug 10,boxscore,LAD,,MIN,W,8,5,,77-33,1,up16.0,Price,Fulmer,,3:15,N,53432,.07,++++++++++,
111,Friday Aug 12,boxscore,LAD,@,KCR,W,8,3,,78-33,1,up16.0,Gonsolin,Staumont,,3:12,N,24333,.04,+++++++++++,
112,Saturday Aug 13,boxscore,LAD,@,KCR,W,13,3,,79-33,1,up17.0,Bickford,Keller,,3:05,N,29689,.04,++++++++++++,
113,Sunday Aug 14,boxscore,LAD,@,KCR,L,0,4,,79-34,1,up16.0,Singer,Anderson,Barlow,2:49,D,18481,.03,-,
114,Monday Aug 15,boxscore,LAD,@,MIL,W,4,0,,80-34,1,up17.0,Urías,Peralta,,3:12,N,27084,.06,+,
115,Tuesday Aug 16,boxscore,LAD,@,MIL,L-wo,4,5,11,80-35,1,up17.0,Suter,Kimbrel,,3:52,N,32948,.03,-,
116,Wednesday Aug 17,boxscore,LAD,@,MIL,W,2,1,,81-35,1,up17.0,Gonsolin,Lauer,Kimbrel,2:49,N,30259,.04,+,
117,Thursday Aug 18,boxscore,LAD,@,MIL,L,3,5,,81-36,1,up17.0,Burnes,Heaney,Williams,2:58,D,37403,.04,-,
118,Friday Aug 19,boxscore,LAD,,MIA,W,2,1,,82-36,1,up18.0,Martin,Floro,Phillips,2:41,N,50431,.06,+,
119,Saturday Aug 20,boxscore,LAD,,MIA,W,7,0,,83-36,1,up18.0,May,Hoeing,,2:39,N,51813,.03,++,
120,Sunday Aug 21,boxscore,LAD,,MIA,W,10,3,,84-36,1,up18.0,Pepiot,Alcantara,,3:18,D,42125,.04,+++,
121,Monday Aug 22,boxscore,LAD,,MIL,L,0,4,,84-37,1,up17.5,Lauer,Urías,,3:02,N,37091,.04,-,
122,Tuesday Aug 23,boxscore,LAD,,MIL,W,10,1,,85-37,1,up18.5,Gonsolin,Burnes,,3:02,N,53222,.03,+,
123,Wednesday Aug 24,boxscore,LAD,,MIL,W,12,6,,86-37,1,up19.5,Heaney,Houser,,3:07,N,47216,.04,++,
124,Friday Aug 26,boxscore,LAD,@,MIA,W,10,6,10,87-37,1,up19.5,Price,Nardi,,4:18,N,9365,.03,+++,
125,Saturday Aug 27,boxscore,LAD,@,MIA,L,1,2,,87-38,1,up18.5,Alcantara,May,,2:17,N,23543,.02,-,
126,Sunday Aug 28,boxscore,LAD,@,MIA,W,8,1,,88-38,1,up19.5,Urías,Cabrera,,3:14,D,13617,.01,+,
127,Monday Aug 29,boxscore,LAD,@,MIA,W,3,2,10,89-38,1,up19.5,Kimbrel,Brazobán,Martin,3:27,N,10288,.02,++,
128,Tuesday Aug 30,boxscore,LAD,@,NYM,W,4,3,,90-38,1,up19.5,Hembree,Rodríguez,Reed,3:12,N,40607,.01,+++,
129,Wednesday Aug 31,boxscore,LAD,@,NYM,L,1,2,,90-39,1,up18.5,deGrom,Anderson,Díaz,2:19,N,41799,.01,-,
130,Thursday Sep 1,boxscore,LAD,@,NYM,L,3,5,,90-40,1,up18.0,Bassitt,Martin,Ottavino,3:14,D,36908,.02,--,
131,Friday Sep 2,boxscore,LAD,,SDP,L,1,7,,90-41,1,up17.0,Darvish,May,,3:30,N,45164,.02,---,
132,Saturday Sep 3,boxscore,LAD,,SDP,W,12,1,,91-41,1,up18.0,Urías,Manaea,,2:42,N,46144,.03,+,
133,Sunday Sep 4,boxscore,LAD,,SDP,W,9,4,,92-41,1,up19.0,Vesia,Clevinger,,4:08,D,48522,.01,++,
134,Monday Sep 5,boxscore,LAD,,SFG,L,4,7,,92-42,1,up19.0,Webb,Heaney,Doval,3:01,N,51887,.02,-,
135,Tuesday Sep 6,boxscore,LAD,,SFG,W,6,3,,93-42,1,up19.0,Anderson,García,Kimbrel,2:43,N,39752,.03,+,
136,Wednesday Sep 7,boxscore,LAD,,SFG,W,7,3,,94-42,1,up19.0,Phillips,Littell,,3:13,D,39237,.01,++,
137,Friday Sep 9,boxscore,LAD,@,SDP,L-wo,4,5,10,94-43,1,up18.0,Morejón,Hembree,,3:47,N,43286,.01,-,
138,Saturday Sep 10,boxscore,LAD,@,SDP,W,8,4,,95-43,1,up19.0,Urías,Snell,,3:07,N,43639,.02,+,
139,Sunday Sep 11,boxscore,LAD,@,SDP,W,11,2,,96-43,1,up20.0,Heaney,Musgrove,,3:01,D,41652,.01,++,
140,Monday Sep 12,boxscore,LAD,@,ARI,W,6,0,,97-43,1,up20.5,Anderson,Nelson,,2:37,N,19393,.01,+++,
141,Tuesday Sep 13,boxscore,LAD,@,ARI,W,4,0,,98-43,1,up20.5,Kershaw,Kelly,,2:54,N,21143,.01,++++,
142,Wednesday Sep 14,boxscore,LAD,@,ARI,L-wo,3,5,10,98-44,1,up20.5,Moronta,Kimbrel,,3:18,N,22971,.00,-,
143,Friday Sep 16,boxscore,LAD,@,SFG,W,5,0,,99-44,1,up21.0,May,Webb,,2:59,N,37487,.01,+,
144,Saturday Sep 17,boxscore,LAD,@,SFG,W,7,2,,100-44,1,up21.0,Urías,Hjelle,,3:12,N,40171,.01,++,
145,Sunday Sep 18,boxscore,LAD,@,SFG,W,4,3,10,101-44,1,up21.0,Kimbrel,Brebbia,Bruihl,4:11,D,32137,.01,+++,
146,Monday Sep 19,boxscore,LAD,,ARI,W,5,2,,102-44,1,up21.5,Kershaw,Kelly,,2:46,N,44854,.00,++++,
147,Tuesday Sep 20 (1),boxscore,LAD,,ARI,W,6,5,,103-44,1,up21.0,Pepiot,Ginkel,Martin,3:30,D,38902,.00,+++++,
148,Tuesday Sep 20 (2),boxscore,LAD,,ARI,L,2,5,,103-45,1,up21.0,Jameson,Anderson,Moronta,2:49,N,43097,.00,-,
149,Wednesday Sep 21,boxscore,LAD,,ARI,L,1,6,,103-46,1,up20.0,Bumgarner,May,,2:53,N,38845,.00,--,
150,Thursday Sep 22,boxscore,LAD,,ARI,W-wo,3,2,,104-46,1,up21.0,Kimbrel,Moronta,,3:05,N,47907,.01,+,
151,Friday Sep 23,boxscore,LAD,,STL,L,0,11,,104-47,1,up21.0,Quintana,Heaney,,2:57,N,50041,.00,-,
152,Saturday Sep 24,boxscore,LAD,,STL,W,6,2,,105-47,1,up21.0,Kershaw,Montgomery,,2:50,N,52527,.00,+,
153,Sunday Sep 25,boxscore,LAD,,STL,W,4,1,,106-47,1,up21.0,Grove,Wainwright,Jackson,2:48,D,48695,.00,++,
154,Tuesday Sep 27,boxscore,LAD,@,SDP,L-wo,3,4,10,106-48,1,up20.0,Johnson,Kimbrel,,4:09,N,32127,.00,-,
155,Wednesday Sep 28,boxscore,LAD,@,SDP,W,1,0,10,107-48,1,up21.0,Vesia,Wilson,Kahnle,3:44,N,32523,.01,+,
156,Thursday Sep 29,boxscore,LAD,@,SDP,W,5,2,,108-48,1,up22.0,Heaney,Johnson,Price,3:17,N,35636,.00,++,
157,Friday Sep 30,boxscore,LAD,,COL,W,10,1,,109-48,1,up23.0,Kershaw,Kuhl,,2:45,N,52025,.00,+++,
158,Saturday Oct 1,boxscore,LAD,,COL,W,6,4,,110-48,1,up23.0,Phillips,Hollowell,Graterol,3:29,N,47334,.00,++++,
159,Sunday Oct 2,boxscore,LAD,,COL,L,1,4,,110-49,1,up23.0,Márquez,Anderson,Bard,2:49,D,44091,.00,-,
160,Monday Oct 3,boxscore,LAD,,COL,L,1,2,,110-50,1,up22.0,Bird,Graterol,Lawrence,3:02,N,52012,.00,--,
161,Tuesday Oct 4,boxscore,LAD,,COL,L,2,5,,110-51,1,up21.0,Feltner,Heaney,Bard,2:48,N,51833,.00,---,
162,Wednesday Oct 5,boxscore,LAD,,COL,W,6,1,,111-51,1,up22.0,Kershaw,Smith,,2:44,D,37514,.00,+,
