Gm#,Date,boxscore,Tm,@,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
59,Thursday Jun 9,boxscore,ARI,@,CIN,W,5,4,,28-31,4,10.0,Melancon,Santillan,Kennedy,3:29,D,13167,.57,++,
60,Friday Jun 10,boxscore,ARI,@,PHI,L,5,7,,28-32,4,10.0,Gibson,Gallen,Knebel,3:24,N,37423,.66,-,
61,Saturday Jun 11,boxscore,ARI,@,PHI,L,0,4,,28-33,4,10.0,Wheeler,Bumgarner,,2:56,D,30820,.63,--,
62,Sunday Jun 12,boxscore,ARI,@,PHI,W,13,1,,29-33,4,9.0,Weaver,Suárez,,3:50,D,41218,.56,+,
63,Monday Jun 13,boxscore,ARI,,CIN,L,4,5,,29-34,4,9.5,Minor,Kelly,Strickland,3:20,N,13735,.55,-,
64,Tuesday Jun 14,boxscore,ARI,,CIN,L,3,5,12,29-35,4,10.5,Cessa,Poppen,Kuhnel,3:41,N,15081,.46,--,
65,Wednesday Jun 15,boxscore,ARI,,CIN,W,7,4,,30-35,4,10.5,Ramirez,Warren,,2:50,D,14917,.42,+,
66,Friday Jun 17,boxscore,ARI,,MIN,W,7,2,,31-35,4,10.0,Bumgarner,Smeltzer,,2:40,N,26351,.43,++,
67,Saturday Jun 18,boxscore,ARI,,MIN,L,1,11,,31-36,4,10.5,Bundy,Weaver,,2:40,N,24338,.45,-,
68,Sunday Jun 19,boxscore,ARI,,MIN,W,7,1,,32-36,4,9.5,Kelly,Archer,,2:51,D,30690,.40,+,
69,Monday Jun 20,boxscore,ARI,@,SDP,L,1,4,,32-37,4,10.0,Darvish,Davies,Rogers,2:36,N,35430,.54,-,
70,Tuesday Jun 21,boxscore,ARI,@,SDP,L-wo,2,3,11,32-38,4,11.0,Hill,Kennedy,,3:55,N,31528,.41,--,
71,Wednesday Jun 22,boxscore,ARI,@,SDP,L,4,10,,32-39,4,12.0,Morejón,Bumgarner,Martinez,3:33,D,31024,.42,---,
72,Friday Jun 24,boxscore,ARI,,DET,L,1,5,,32-40,4,13.5,García,Kelly,,2:46,N,22064,.30,----,
73,Saturday Jun 25,boxscore,ARI,,DET,L,3,6,,32-41,4,13.5,Alexander,Mantiply,Soto,2:54,N,23129,.26,-----,
74,Sunday Jun 26,boxscore,ARI,,DET,W,11,7,,33-41,4,13.5,Wendelken,Vest,,3:36,D,22529,.22,+,
75,Tuesday Jun 28,boxscore,ARI,,SDP,W-wo,7,6,,34-41,4,12.0,Melancon,Rogers,,3:38,N,19904,.29,++,
76,Wednesday Jun 29,boxscore,ARI,,SDP,L,0,4,,34-42,4,13.0,Clevinger,Bumgarner,Martinez,3:12,D,20109,.35,-,
77,Friday Jul 1,boxscore,ARI,@,COL,W,9,3,,35-42,4,13.5,Kelly,Senzatela,,2:42,N,47588,.27,+,
78,Saturday Jul 2,boxscore,ARI,@,COL,L,7,11,,35-43,4,14.5,Gomber,Keuchel,,2:47,N,48331,.29,-,
79,Sunday Jul 3,boxscore,ARI,@,COL,L,5,6,,35-44,4,14.5,Bird,Ramirez,Bard,3:09,D,33479,.29,--,
80,Monday Jul 4,boxscore,ARI,,SFG,W,8,3,,36-44,4,14.5,Bumgarner,Rodón,,3:13,D,27752,.24,+,
81,Tuesday Jul 5,boxscore,ARI,,SFG,W,6,2,,37-44,4,14.5,Smith,Leone,,3:07,N,14467,.29,++,
82,Wednesday Jul 6,boxscore,ARI,,SFG,L,5,7,,37-45,4,15.5,Brebbia,Mantiply,Long,3:23,N,13445,.31,-,
83,Thursday Jul 7,boxscore,ARI,,COL,L,3,4,,37-46,4,16.5,Estévez,Melancon,Bard,2:57,N,11727,.24,--,
84,Friday Jul 8,boxscore,ARI,,COL,L,5,6,,37-47,4,17.5,Kuhl,Poppen,Colomé,3:28,N,15524,.21,---,
85,Saturday Jul 9,boxscore,ARI,,COL,W,9,2,,38-47,4,17.5,Bumgarner,Freeland,,3:03,D,21819,.17,+,
86,Sunday Jul 10,boxscore,ARI,,COL,L,2,3,,38-48,4,18.5,Márquez,Middleton,Bard,2:43,D,18126,.19,-,
87,Monday Jul 11,boxscore,ARI,@,SFG,W,4,3,,39-48,4,18.0,Kelly,Cobb,Melancon,3:46,N,25325,.16,+,
88,Tuesday Jul 12,boxscore,ARI,@,SFG,L,0,13,,39-49,4,18.0,Webb,Keuchel,,2:45,N,23353,.22,-,
89,Wednesday Jul 13,boxscore,ARI,@,SFG,L-wo,3,4,,39-50,5,19.0,Doval,Melancon,,3:05,D,27055,.18,--,
90,Friday Jul 15,boxscore,ARI,@,SDP,L,3,5,,39-51,5,20.5,Darvish,Bumgarner,Rogers,3:04,N,41302,.16,---,
