Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 16,boxscore,BOS,,TBR,L,5,7,,22-22,4,7.5,Rodríguez,Jansen,Ramírez,3:12,N,31704,.91,--,
45,Friday May 17,boxscore,BOS,@,STL,L,6,10,,22-23,4,8.5,Gibson,Bello,,2:52,N,37961,.77,---,
46,Saturday May 18,boxscore,BOS,@,STL,L,2,7,,22-24,4,9.5,Romero,Slaten,,2:40,N,40690,.70,----,
47,Sunday May 19,boxscore,BOS,@,STL,W,11,3,,23-24,4,9.5,Pivetta,Liberatore,,2:51,D,39316,.64,+,
48,Monday May 20,boxscore,BOS,@,TBR,W,5,0,,24-24,4,8.5,Houck,Bradley,,2:08,N,13489,.77,++,
49,Tuesday May 21,boxscore,BOS,@,TBR,W,5,2,,25-24,3,7.5,Weissert,Adam,Jansen,2:19,N,12274,.86,+++,
50,Wednesday May 22,boxscore,BOS,@,TBR,W,8,5,,26-24,3,7.5,Bello,Lovelady,,2:40,N,13095,.90,++++,
51,Friday May 24,boxscore,BOS,,MIL,L,2,7,,26-25,3,9.0,Wilson,Crawford,,2:37,N,30992,.83,-,
52,Saturday May 25,boxscore,BOS,,MIL,L,3,6,,26-26,3,10.0,Rea,Pivetta,Megill,2:41,D,34822,.79,--,
53,Sunday May 26,boxscore,BOS,,MIL,W,2,1,,27-26,3,9.0,Slaten,Peguero,Jansen,2:13,D,34078,.70,+,
54,Monday May 27,boxscore,BOS,@,BAL,L,3,11,,27-27,3,9.5,Irvin,Criswell,,2:31,D,40951,.88,-,
55,Tuesday May 28,boxscore,BOS,@,BAL,W,8,3,,28-27,3,8.5,Bello,Rodriguez,,2:44,N,17970,.82,+,
56,Wednesday May 29,boxscore,BOS,@,BAL,L,1,6,,28-28,3,9.5,Burnes,Crawford,,2:26,N,18857,.91,-,
57,Thursday May 30,boxscore,BOS,,DET,L,0,5,,28-29,3,10.5,Flaherty,Pivetta,,2:35,N,31077,.73,--,
58,Friday May 31,boxscore,BOS,,DET,W,7,3,,29-29,3,10.5,Houck,Maeda,,2:31,N,31231,.72,+,
