Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 14,boxscore,PHI,@,NYM,W,4,0,,30-13,1,up 2.0,Nola,Buttó,,2:48,D,30047,1.13,++,
44,Wednesday May 15,boxscore,PHI,,NYM,W,10,5,,31-13,1,up 3.0,Suárez,Lucchesi,,2:43,N,37219,1.14,+++,
45,Thursday May 16,boxscore,PHI,,NYM,L,5,6,11,31-14,1,up 2.5,López,Alvarado,Diekman,3:29,N,38267,1.05,-,
46,Friday May 17,boxscore,PHI,,WSN,W,4,2,,32-14,1,up 3.5,Wheeler,Irvin,Hoffman,2:15,N,44507,1.14,+,
47,Saturday May 18,boxscore,PHI,,WSN,W-wo,4,3,10,33-14,1,up 4.0,Soto,Finnegan,,2:52,N,43112,1.03,++,
48,Sunday May 19,boxscore,PHI,,WSN,W,11,5,,34-14,1,up 5.0,Nola,Barnes,,2:53,D,44713,.99,+++,
49,Tuesday May 21,boxscore,PHI,,TEX,W,5,2,,35-14,1,up 6.0,Suárez,Gray,Alvarado,2:36,N,41083,.91,++++,
50,Wednesday May 22,boxscore,PHI,,TEX,W,11,4,,36-14,1,up 6.0,Strahm,Dunning,,2:49,N,39595,.85,+++++,
51,Thursday May 23,boxscore,PHI,,TEX,W,5,2,,37-14,1,up 6.0,Wheeler,Heaney,Hoffman,2:28,D,42377,.81,++++++,
52,Friday May 24,boxscore,PHI,@,COL,L-wo,2,3,11,37-15,1,up 6.0,Kinley,Soto,,2:47,N,35007,.78,-,
53,Saturday May 25,boxscore,PHI,@,COL,W,8,4,,38-15,1,up 7.0,Ruiz,Lawrence,,2:59,N,37535,.80,+,
54,Sunday May 26,boxscore,PHI,@,COL,L,2,5,,38-16,1,up 6.0,Quantrill,Suárez,Kinley,2:22,D,47442,.78,-,
55,Monday May 27,boxscore,PHI,@,SFG,L,4,8,,38-17,1,up 6.0,Rodríguez,Walker,,2:44,D,40598,.84,--,
56,Tuesday May 28,boxscore,PHI,@,SFG,L-wo,0,1,10,38-18,1,up 5.0,Hjelle,Strahm,,2:32,N,34655,.86,---,
57,Wednesday May 29,boxscore,PHI,@,SFG,W,6,1,,39-18,1,up 6.0,Sánchez,Harrison,,2:38,D,31763,.97,+,
58,Friday May 31,boxscore,PHI,,STL,W,4,2,,40-18,1,up 6.5,Nola,Mikolas,Hoffman,2:14,N,44742,.89,++,
59,Saturday Jun 1,boxscore,PHI,,STL,W,6,1,,41-18,1,up 7.5,Turnbull,Gray,,2:28,N,44668,.83,+++,
60,Sunday Jun 2,boxscore,PHI,,STL,L,4,5,10,41-19,1,up 6.5,King,Soto,Helsley,3:04,N,41190,.75,-,
61,Monday Jun 3,boxscore,PHI,,MIL,W,3,1,,42-19,1,up 7.0,Wheeler,Wilson,Alvarado,2:10,N,43553,.92,+,
62,Tuesday Jun 4,boxscore,PHI,,MIL,W-wo,2,1,10,43-19,1,up 7.0,Domínguez,Payamps,,2:58,N,40632,.84,++,
63,Wednesday Jun 5,boxscore,PHI,,MIL,W,2,0,,44-19,1,up 8.0,Nola,Ashby,Alvarado,2:14,D,38910,.81,+++,
64,Saturday Jun 8,boxscore,PHI,@,NYM,W,7,2,,45-19,1,up 9.0,Suárez,Manaea,,2:52,N,53882,.68,++++,
65,Sunday Jun 9,boxscore,PHI,,NYM,L,5,6,,45-20,1,up 9.0,Garrett,Alvarado,Smith,3:27,D,55074,.61,-,
66,Tuesday Jun 11,boxscore,PHI,@,BOS,W,4,1,,46-20,1,up10.0,Wheeler,Crawford,Alvarado,2:25,N,35004,.63,+,
67,Wednesday Jun 12,boxscore,PHI,@,BOS,L,6,8,,46-21,1,up10.0,Booser,Ruiz,Jansen,3:04,N,33236,.54,-,
68,Thursday Jun 13,boxscore,PHI,@,BOS,L,3,9,,46-22,1,up 9.0,Houck,Nola,Keller,2:43,N,34007,.62,--,
69,Friday Jun 14,boxscore,PHI,@,BAL,W,5,3,11,47-22,1,up 9.0,Kerkering,Webb,Domínguez,2:59,N,43987,.72,+,
70,Saturday Jun 15,boxscore,PHI,@,BAL,L,2,6,,47-23,1,up 8.0,Rodriguez,Walker,,2:23,D,44555,.66,-,
71,Sunday Jun 16,boxscore,PHI,@,BAL,L,3,8,,47-24,1,up 8.0,Burnes,Wheeler,Cano,2:50,D,44525,.70,--,
72,Monday Jun 17,boxscore,PHI,,SDP,W,9,2,,48-24,1,up 8.0,Sánchez,Vásquez,,2:31,N,43134,.76,+,
73,Tuesday Jun 18,boxscore,PHI,,SDP,W-wo,4,3,,49-24,1,up 8.0,Hoffman,Suarez,,2:51,N,43021,.74,++,
74,Wednesday Jun 19,boxscore,PHI,,SDP,L,2,5,,49-25,1,up 7.0,Waldron,Kerkering,Suarez,2:37,D,44445,.69,-,
75,Friday Jun 21,boxscore,PHI,,ARI,L,4,5,,49-26,1,up 6.0,Montgomery,Walker,Sewald,2:57,N,44436,.77,--,
76,Saturday Jun 22,boxscore,PHI,,ARI,W,12,1,,50-26,1,up 7.0,Wheeler,Henry,,2:23,D,44288,.83,+,
77,Sunday Jun 23,boxscore,PHI,,ARI,W,4,1,,51-26,1,up 7.0,Sánchez,Cecconi,,2:36,D,44079,.77,++,
78,Monday Jun 24,boxscore,PHI,@,DET,W,8,1,,52-26,1,up 8.0,Nola,Mize,,2:55,N,20108,.74,+++,
79,Tuesday Jun 25,boxscore,PHI,@,DET,L,1,4,,52-27,1,up 7.5,Skubal,Suárez,,2:04,N,24345,.64,-,
80,Wednesday Jun 26,boxscore,PHI,@,DET,W,6,2,,53-27,1,up 8.0,Ruiz,Montero,,2:30,D,22530,.73,+,
81,Thursday Jun 27,boxscore,PHI,,MIA,L,4,7,,53-28,1,up 8.0,Bender,Hoffman,Scott,2:50,N,43507,.68,-,
82,Friday Jun 28,boxscore,PHI,,MIA,W,2,0,,54-28,1,up 8.0,Sánchez,Tyler,,2:15,N,44252,.73,+,
83,Saturday Jun 29,boxscore,PHI,,MIA,L,2,3,,54-29,1,up 7.0,Nardi,Nola,Scott,2:39,D,44117,.69,-,
84,Sunday Jun 30,boxscore,PHI,,MIA,W,7,6,,55-29,1,up 8.0,Domínguez,Nardi,Hoffman,2:59,D,43222,.70,+,
85,Tuesday Jul 2,boxscore,PHI,@,CHC,W,6,4,,56-29,1,up 9.0,Mercado,Wesneski,Hoffman,2:27,N,38670,.68,++,
86,Wednesday Jul 3,boxscore,PHI,@,CHC,W,5,3,,57-29,1,up 9.0,Strahm,Miller,Alvarado,2:43,N,36692,.65,+++,
87,Thursday Jul 4,boxscore,PHI,@,CHC,L,2,10,,57-30,1,up 9.0,Taillon,Sánchez,,2:23,D,40143,.57,-,
88,Friday Jul 5,boxscore,PHI,@,ATL,W,8,6,,58-30,1,up10.0,Nola,Fried,Hoffman,3:01,N,40942,.82,+,
