Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Friday May 27,boxscore,SFG,@,CIN,L,1,5,,24-20,3,6.5,Ashcraft,Rodón,Warren,3:16,N,19000,.98,-,
45,Saturday May 28,boxscore,SFG,@,CIN,L,2,3,,24-21,3,7.5,Gutierrez,Wood,Santillan,3:00,D,26655,.94,--,
46,Sunday May 29,boxscore,SFG,@,CIN,W,6,4,,25-21,3,7.5,Brebbia,Warren,,3:10,D,20439,.92,+,
47,Monday May 30,boxscore,SFG,@,PHI,W,5,4,10,26-21,3,6.5,Leone,Bellatti,Doval,3:13,D,26650,.94,++,
48,Tuesday May 31,boxscore,SFG,@,PHI,W,7,4,11,27-21,3,5.5,Álvarez,Bellatti,,4:52,N,20927,.96,+++,
49,Wednesday Jun 1,boxscore,SFG,@,PHI,L,5,6,,27-22,3,5.5,Nola,García,Knebel,3:02,N,22213,1.02,-,
50,Thursday Jun 2,boxscore,SFG,@,MIA,L,0,3,,27-23,3,6.5,Alcantara,Wood,Scott,2:34,N,8202,1.01,--,
51,Friday Jun 3,boxscore,SFG,@,MIA,W,15,6,,28-23,3,6.5,Littell,Bleier,,3:10,N,6512,.99,+,
52,Saturday Jun 4,boxscore,SFG,@,MIA,L-wo,4,5,,28-24,3,6.5,Scott,Rogers,,2:54,D,7515,1.02,-,
53,Sunday Jun 5,boxscore,SFG,@,MIA,W,5,1,,29-24,3,5.5,Junis,Garrett,,3:10,D,9641,.97,+,
54,Tuesday Jun 7,boxscore,SFG,,COL,L,3,5,,29-25,3,5.5,Márquez,Littell,Bard,3:13,N,24785,.98,-,
55,Wednesday Jun 8,boxscore,SFG,,COL,W-wo,2,1,10,30-25,3,5.5,Doval,Estévez,,2:49,N,21535,1.03,+,
56,Thursday Jun 9,boxscore,SFG,,COL,L,2,4,,30-26,3,6.5,Gomber,Webb,Colomé,2:56,D,23780,1.02,-,
57,Friday Jun 10,boxscore,SFG,,LAD,W,7,2,,31-26,3,5.5,Junis,Buehler,,2:45,N,39701,1.12,+,
58,Saturday Jun 11,boxscore,SFG,,LAD,W,3,2,,32-26,3,4.5,Doval,Kershaw,Álvarez,3:32,D,41236,1.19,++,
59,Sunday Jun 12,boxscore,SFG,,LAD,W,2,0,,33-26,3,3.5,Rodón,Urías,McGee,2:56,D,41197,1.22,+++,
60,Monday Jun 13,boxscore,SFG,,KCR,W,6,2,,34-26,3,3.0,Wood,Garrett,,2:48,N,22185,1.09,++++,
61,Tuesday Jun 14,boxscore,SFG,,KCR,W,4,2,,35-26,3,3.0,Webb,Bubic,Doval,3:00,N,24386,1.07,+++++,
62,Wednesday Jun 15,boxscore,SFG,,KCR,L,2,3,,35-27,3,4.0,Cuas,Brebbia,Barlow,2:52,D,25527,1.09,-,
63,Friday Jun 17,boxscore,SFG,@,PIT,W,2,0,,36-27,3,3.5,Rodón,Thompson,Doval,2:46,N,19075,1.08,+,
64,Saturday Jun 18,boxscore,SFG,@,PIT,W,7,5,,37-27,3,3.0,Wood,Crowe,Doval,3:53,D,26041,1.06,++,
65,Sunday Jun 19,boxscore,SFG,@,PIT,L-wo,3,4,,37-28,3,3.0,Bednar,Rogers,,2:38,D,23905,1.08,-,
66,Monday Jun 20,boxscore,SFG,@,ATL,L-wo,1,2,,37-29,3,3.5,Jansen,Doval,,2:54,N,40589,1.24,--,
67,Tuesday Jun 21,boxscore,SFG,@,ATL,W,12,10,,38-29,3,3.5,Rogers,O'Day,,3:28,N,35384,1.19,+,
68,Wednesday Jun 22,boxscore,SFG,@,ATL,L-wo,3,4,,38-30,3,4.5,Minter,McGee,,2:52,N,38478,1.25,-,
69,Thursday Jun 23,boxscore,SFG,@,ATL,L,6,7,,38-31,3,5.5,Wright,Wood,Jansen,3:08,D,36870,1.17,--,
70,Friday Jun 24,boxscore,SFG,,CIN,L,2,4,,38-32,3,6.5,Ashcraft,Cobb,Strickland,2:51,N,29178,1.05,---,
71,Saturday Jun 25,boxscore,SFG,,CIN,W,9,2,,39-32,3,5.5,Webb,Minor,,2:43,D,40115,1.00,+,
72,Sunday Jun 26,boxscore,SFG,,CIN,L,3,10,,39-33,3,6.5,Mahle,DeSclafani,,2:58,D,32285,1.02,-,
73,Tuesday Jun 28,boxscore,SFG,,DET,W,4,3,,40-33,3,5.0,Rodón,Skubal,Doval,3:16,N,28004,1.03,+,
74,Wednesday Jun 29,boxscore,SFG,,DET,L,2,3,,40-34,3,6.0,García,Wood,Soto,2:49,D,26576,1.05,-,
75,Friday Jul 1,boxscore,SFG,,CHW,L,0,1,,40-35,3,7.5,Banks,Doval,Graveman,2:59,N,35266,1.01,--,
76,Saturday Jul 2,boxscore,SFG,,CHW,L,3,5,,40-36,3,8.5,Cease,Webb,Graveman,3:18,D,30804,.97,---,
