Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,TEX,@,TOR,L,8,10,,0-1,3,1.5,Cimber,Santana,Romano,3:26,N,45022,.93,-,
2,Saturday Apr 9,boxscore,TEX,@,TOR,L,3,4,,0-2,4,2.0,Richards,Martin,Romano,2:39,D,43386,.92,--,
3,Sunday Apr 10,boxscore,TEX,@,TOR,W,12,6,,1-2,3,1.5,Burke,Merryweather,,3:24,D,31549,.87,+,
4,Monday Apr 11,boxscore,TEX,,COL,L,4,6,10,1-3,5,2.0,Bard,Holland,Goudeau,4:01,D,35052,.85,-,
5,Tuesday Apr 12,boxscore,TEX,,COL,L,1,4,,1-4,5,3.0,Chacín,Pérez,Bard,3:09,N,15862,.81,--,
6,Thursday Apr 14,boxscore,TEX,,LAA,W,10,5,,2-4,5,2.0,King,Ohtani,,3:30,N,21440,.85,+,
7,Friday Apr 15,boxscore,TEX,,LAA,L,6,9,,2-5,5,2.0,Warren,Allard,Iglesias,3:32,N,28723,.89,-,
8,Saturday Apr 16,boxscore,TEX,,LAA,L,2,7,,2-6,5,3.0,Syndergaard,Hearn,,3:10,N,34493,.86,--,
9,Sunday Apr 17,boxscore,TEX,,LAA,L,3,8,,2-7,5,3.5,Mayers,Pérez,,3:25,D,22650,.79,---,
10,Tuesday Apr 19,boxscore,TEX,@,SEA,L,2,6,,2-8,5,4.0,Ray,Gray,,2:37,N,11067,.78,----,
11,Wednesday Apr 20,boxscore,TEX,@,SEA,L,2,4,,2-9,5,5.0,Gilbert,Dunning,,2:56,N,9374,.71,-----,
12,Thursday Apr 21,boxscore,TEX,@,SEA,W,8,6,,3-9,5,4.5,Barlow,Steckenrider,,3:47,N,12570,.66,+,
13,Friday Apr 22,boxscore,TEX,@,OAK,W,8,1,,4-9,5,3.5,Otto,Oller,,3:05,N,7012,.73,++,
14,Saturday Apr 23,boxscore,TEX,@,OAK,W,2,0,,5-9,5,3.5,Burke,Montas,Bush,2:41,D,9120,.78,+++,
15,Sunday Apr 24,boxscore,TEX,@,OAK,L,0,2,,5-10,5,4.5,Irvin,Howard,Jiménez,2:56,D,11083,.84,-,
16,Monday Apr 25,boxscore,TEX,,HOU,W,6,2,,6-10,5,4.0,Moore,Maton,,3:14,N,17420,.79,+,
17,Tuesday Apr 26,boxscore,TEX,,HOU,L,1,5,,6-11,5,5.0,Odorizzi,Hearn,,3:02,N,16469,.80,-,
18,Wednesday Apr 27,boxscore,TEX,,HOU,L,3,4,,6-12,5,5.5,Javier,Martin,Stanek,3:17,N,20399,.73,--,
19,Thursday Apr 28,boxscore,TEX,,HOU,L,2,3,,6-13,5,6.5,Verlander,Bush,Montero,2:37,D,19484,.67,---,
20,Friday Apr 29,boxscore,TEX,,ATL,L,3,6,,6-14,5,7.5,Anderson,Richards,Jansen,3:23,N,25829,.59,----,
21,Saturday Apr 30,boxscore,TEX,,ATL,W,3,1,,7-14,5,6.5,Dunning,Elder,Barlow,2:16,N,36097,.50,+,
