Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 14,boxscore,CLE,@,TEX,W,7,4,,27-16,1,up 1.5,Lively,Leiter,Clase,2:56,N,33885,1.30,+++,
44,Wednesday May 15,boxscore,CLE,@,TEX,L,0,4,,27-17,1,up 1.5,Gray,Carrasco,,2:26,N,29276,1.29,-,
45,Friday May 17,boxscore,CLE,,MIN,W,3,2,,28-17,1,up 1.5,Herrin,Durán,Clase,2:32,N,30121,1.43,+,
46,Saturday May 18,boxscore,CLE,,MIN,W,11,4,,29-17,1,up 1.5,Allen,Ober,,2:45,N,35545,1.40,++,
47,Sunday May 19,boxscore,CLE,,MIN,W-wo,5,2,,30-17,1,up 1.5,Clase,Durán,,2:16,D,25136,1.38,+++,
48,Monday May 20,boxscore,CLE,,NYM,W,3,1,,31-17,1,up 1.5,Lively,Megill,Clase,2:16,N,20046,1.15,++++,
49,Tuesday May 21,boxscore,CLE,,NYM,W,7,6,,32-17,1,up 1.5,Sandlin,Houser,Clase,2:35,N,20977,1.19,+++++,
50,Wednesday May 22,boxscore,CLE,,NYM,W,6,3,,33-17,1,up 1.5,Gaddis,Garrett,Smith,2:45,D,22322,1.16,++++++,
51,Friday May 24,boxscore,CLE,@,LAA,W,10,4,,34-17,1,up 1.5,Allen,Sandoval,,2:40,N,37618,1.12,+++++++,
52,Saturday May 25,boxscore,CLE,@,LAA,W,4,3,,35-17,1,up 1.5,Bibee,Soriano,Clase,2:22,N,35861,1.08,++++++++,
53,Sunday May 26,boxscore,CLE,@,LAA,W,5,4,,36-17,1,up 2.5,Lively,Detmers,Clase,2:33,D,38741,1.02,+++++++++,
54,Monday May 27,boxscore,CLE,@,COL,L,6,8,,36-18,1,up 2.5,Rogers,Curry,Beeks,2:42,D,35122,1.02,-,
55,Tuesday May 28,boxscore,CLE,@,COL,W,13,7,,37-18,1,up 3.5,Smith,Lambert,,2:55,N,21009,1.02,+,
56,Wednesday May 29,boxscore,CLE,@,COL,L,4,7,,37-19,1,up 2.5,Blach,Allen,,2:29,N,21374,1.04,-,
57,Friday May 31,boxscore,CLE,,WSN,W,7,1,,38-19,1,up 4.0,Bibee,Corbin,,2:21,N,35526,1.08,+,
58,Saturday Jun 1,boxscore,CLE,,WSN,W,3,2,,39-19,1,up 5.0,Lively,Parker,Clase,2:26,D,36725,1.01,++,
59,Sunday Jun 2,boxscore,CLE,,WSN,L,2,5,,39-20,1,up 4.0,Irvin,Carrasco,Finnegan,2:18,D,25521,.98,-,
60,Tuesday Jun 4,boxscore,CLE,,KCR,W,8,5,,40-20,1,up 5.0,Smith,Long,Clase,2:22,N,23260,1.36,+,
61,Thursday Jun 6,boxscore,CLE,,KCR,L,3,4,,40-21,1,up 4.0,Long,Gaddis,McArthur,2:59,D,26344,1.30,-,
62,Friday Jun 7,boxscore,CLE,@,MIA,L,2,3,,40-22,1,up 3.0,Scott,Smith,,2:14,N,10718,1.08,--,
63,Saturday Jun 8,boxscore,CLE,@,MIA,W,8,0,,41-22,1,up 3.0,Lively,Muñoz,Avila,2:41,N,15669,1.08,+,
64,Sunday Jun 9,boxscore,CLE,@,MIA,W,6,3,,42-22,1,up 4.0,Sandlin,Puk,,2:27,D,12850,1.01,++,
65,Tuesday Jun 11,boxscore,CLE,@,CIN,W,5,3,,43-22,1,up 5.5,McKenzie,Martinez,Clase,2:58,N,34103,1.00,+++,
66,Wednesday Jun 12,boxscore,CLE,@,CIN,L,2,4,,43-23,1,up 5.5,Lodolo,Bibee,Díaz,2:35,N,42427,.89,-,
67,Friday Jun 14,boxscore,CLE,@,TOR,W,3,1,,44-23,1,up 6.0,Allen,Gausman,Clase,2:22,N,36790,1.04,+,
68,Saturday Jun 15,boxscore,CLE,@,TOR,L,0,5,,44-24,1,up 5.0,Francis,Carrasco,,2:23,D,39318,.97,-,
69,Sunday Jun 16,boxscore,CLE,@,TOR,L,6,7,,44-25,1,up 5.0,Berríos,Lively,Pearson,2:48,D,40043,1.02,--,
70,Tuesday Jun 18,boxscore,CLE,,SEA,L,5,8,,44-26,1,up 4.5,Miller,McKenzie,Muñoz,3:15,N,25453,1.33,---,
71,Wednesday Jun 19,boxscore,CLE,,SEA,W,8,0,,45-26,1,up 5.5,Bibee,Woo,,2:19,N,26107,1.34,+,
72,Thursday Jun 20,boxscore,CLE,,SEA,W,6,3,,46-26,1,up 6.0,Allen,Castillo,Clase,2:26,D,24470,1.33,++,
73,Friday Jun 21,boxscore,CLE,,TOR,W,7,1,,47-26,1,up 7.0,Carrasco,Rodríguez,,2:33,N,35868,1.04,+++,
74,Saturday Jun 22,boxscore,CLE,,TOR,W,6,3,,48-26,1,up 7.5,Lively,Berríos,Clase,2:22,D,37133,.96,++++,
75,Sunday Jun 23,boxscore,CLE,,TOR,W,6,5,,49-26,1,up 7.5,Herrin,Kikuchi,Clase,3:01,D,27479,.91,+++++,
76,Monday Jun 24,boxscore,CLE,@,BAL,W,3,2,,50-26,1,up 8.0,Bibee,Povich,Barlow,2:39,N,20309,.87,++++++,
77,Tuesday Jun 25,boxscore,CLE,@,BAL,W,10,8,,51-26,1,up 9.0,Avila,Irvin,Clase,2:47,N,18574,.78,+++++++,
78,Wednesday Jun 26,boxscore,CLE,@,BAL,L,2,4,,51-27,1,up 8.0,Rodriguez,Curry,Kimbrel,2:19,N,17965,.71,-,
79,Thursday Jun 27,boxscore,CLE,@,KCR,L,1,2,,51-28,1,up 7.0,Long,Lively,McArthur,2:11,N,23340,.95,--,
80,Friday Jun 28,boxscore,CLE,@,KCR,L,3,10,,51-29,1,up 7.0,Marsh,McKenzie,,2:42,N,20691,1.05,---,
81,Saturday Jun 29,boxscore,CLE,@,KCR,W,7,2,,52-29,1,up 7.0,Bibee,Ragans,,2:37,D,24153,1.18,+,
82,Sunday Jun 30,boxscore,CLE,@,KCR,L,2,6,,52-30,1,up 6.0,Lugo,Allen,,2:34,D,27691,1.15,-,
83,Tuesday Jul 2,boxscore,CLE,,CHW,W-wo,7,6,,53-30,1,up 6.0,Clase,Kopech,,2:25,N,25654,.90,+,
84,Wednesday Jul 3,boxscore,CLE,,CHW,L,2,8,,53-31,1,up 6.0,Fedde,Williams,,2:35,N,37151,.90,-,
85,Thursday Jul 4,boxscore,CLE,,CHW,W,8,4,,54-31,1,up 6.0,Lively,Shuster,,2:45,D,29404,.92,+,
86,Friday Jul 5,boxscore,CLE,,SFG,L,2,4,,54-32,1,up 6.0,Walker,Bibee,Doval,2:57,N,36769,.86,-,
87,Saturday Jul 6,boxscore,CLE,,SFG,W,5,4,,55-32,1,up 6.0,Avila,Harrison,Clase,2:35,D,36081,.92,+,
88,Sunday Jul 7,boxscore,CLE,,SFG,W,5,4,,56-32,1,up 6.0,Smith,Hjelle,Clase,2:36,D,32012,.82,++,
89,Monday Jul 8,boxscore,CLE,@,DET,L,0,1,,56-33,1,up 5.0,Holton,Barlow,Miller,2:11,N,17677,.80,-,
90,Tuesday Jul 9,boxscore,CLE,@,DET,W,9,8,10,57-33,1,up 5.5,Barlow,Vest,Clase,3:08,N,17111,.96,+,
91,Wednesday Jul 10,boxscore,CLE,@,DET,L,4,5,,57-34,1,up 5.0,Olson,Bibee,Foley,2:39,N,16862,.83,-,
92,Thursday Jul 11,boxscore,CLE,@,DET,L,1,10,,57-35,1,up 4.5,Flaherty,Howard,,2:19,D,22399,.94,--,
93,Friday Jul 12,boxscore,CLE,@,TBR,L,0,2,,57-36,1,up 4.5,Bradley,Carrasco,Adam,2:29,N,17290,1.01,---,
94,Saturday Jul 13,boxscore,CLE,@,TBR,W,4,2,,58-36,1,up 4.5,Sandlin,Cleavinger,Clase,2:32,D,19946,1.11,+,
95,Sunday Jul 14,boxscore,CLE,@,TBR,L,0,2,,58-37,1,up 4.5,Pepiot,Lively,Fairbanks,2:12,D,21875,1.02,-,
96,Friday Jul 19,boxscore,CLE,,SDP,W,7,0,,59-37,1,up 5.0,Bibee,Waldron,,3:01,N,37242,1.07,+,
97,Saturday Jul 20,boxscore,CLE,,SDP,L,0,7,,59-38,1,up 5.0,Cease,Williams,,2:35,N,37485,1.01,-,
98,Sunday Jul 21,boxscore,CLE,,SDP,L,1,2,,59-39,1,up 5.0,King,Lively,Suarez,2:33,D,30491,1.10,--,
99,Monday Jul 22,boxscore,CLE,,DET,L,2,8,,59-40,1,up 4.0,Skubal,Carrasco,,2:38,N,22451,1.19,---,
100,Tuesday Jul 23,boxscore,CLE,,DET,W,5,4,,60-40,1,up 5.0,Smith,Wentz,Clase,2:34,N,23277,1.33,+,
101,Wednesday Jul 24,boxscore,CLE,,DET,W,2,1,,61-40,1,up 5.0,Gaddis,Brieske,Clase,2:15,N,24633,1.14,++,
102,Thursday Jul 25,boxscore,CLE,,DET,L,0,3,,61-41,1,up 4.5,Lucas,Williams,Miller,2:28,D,32867,1.05,-,
103,Friday Jul 26,boxscore,CLE,@,PHI,W,3,1,,62-41,1,up 4.5,Lively,Sánchez,Clase,2:32,N,44448,1.11,+,
104,Saturday Jul 27,boxscore,CLE,@,PHI,L,0,8,,62-42,1,up 4.5,Phillips,Carrasco,,2:20,N,44356,1.07,-,
105,Sunday Jul 28,boxscore,CLE,@,PHI,W,4,3,,63-42,1,up 4.5,Herrin,Alvarado,Clase,2:33,D,43845,1.11,+,
106,Monday Jul 29,boxscore,CLE,@,DET,W,8,4,,64-42,1,up 5.5,Bibee,Brieske,,2:41,N,18387,1.05,++,
107,Tuesday Jul 30,boxscore,CLE,@,DET,W,5,0,,65-42,1,up 6.5,Williams,Faedo,,2:20,D,23239,.89,+++,
108,Thursday Aug 1,boxscore,CLE,,BAL,W,10,3,,66-42,1,up 6.0,Lively,Rogers,,2:40,N,26194,.99,++++,
109,Friday Aug 2,boxscore,CLE,,BAL,W,8,4,,67-42,1,up 6.0,Smith,Kremer,,2:47,N,35137,.87,+++++,
110,Saturday Aug 3,boxscore,CLE,,BAL,L,4,7,,67-43,1,up 5.5,Eflin,Cantillo,Cano,2:56,N,37251,.86,-,
111,Sunday Aug 4,boxscore,CLE,,BAL,L,5,9,,67-44,1,up 4.5,Burnes,Williams,,3:14,D,33628,.95,--,
112,Monday Aug 5,boxscore,CLE,,ARI,L,6,7,10,67-45,1,up 3.5,Thompson,Clase,Martinez,3:07,N,19570,1.05,---,
113,Wednesday Aug 7 (1),boxscore,CLE,,ARI,L,3,7,,67-46,1,up 3.5,Pfaadt,Lively,,2:35,D,,1.12,----,
114,Wednesday Aug 7 (2),boxscore,CLE,,ARI,L,3,5,,67-47,1,up 3.5,Rodríguez,Carrasco,Martinez,2:27,D,26739,1.20,-----,
115,Friday Aug 9 (1),boxscore,CLE,@,MIN,L,2,4,,67-48,1,up 1.5,Ober,Cantillo,Durán,2:26,D,23217,1.72,------,
116,Friday Aug 9 (2),boxscore,CLE,@,MIN,L,3,6,,67-49,1,up 1.5,Sands,Cobb,Richards,2:34,N,28605,1.89,-------,
117,Saturday Aug 10,boxscore,CLE,@,MIN,W,2,1,,68-49,1,up 2.5,Williams,Woods Richardson,Clase,1:58,N,30314,2.01,+,
118,Sunday Aug 11,boxscore,CLE,@,MIN,W,5,3,,69-49,1,up 3.5,Bibee,Thielbar,Clase,3:01,D,30084,1.89,++,
119,Monday Aug 12,boxscore,CLE,,CHC,W,9,8,,70-49,1,up 3.5,Sandlin,Merryweather,Clase,2:52,N,25619,1.24,+++,
120,Tuesday Aug 13,boxscore,CLE,,CHC,W,2,1,,71-49,1,up 3.5,Avila,Smyly,Clase,2:32,N,29090,1.22,++++,
121,Wednesday Aug 14,boxscore,CLE,,CHC,W,6,1,,72-49,1,up 4.5,Cobb,Taillon,,2:24,N,30243,1.15,+++++,
122,Friday Aug 16,boxscore,CLE,@,MIL,L,3,5,,72-50,1,up 3.0,Civale,Williams,Payamps,2:36,N,30346,1.07,-,
123,Saturday Aug 17,boxscore,CLE,@,MIL,L,1,2,,72-51,1,up 2.0,Peralta,Bibee,Williams,2:18,N,37518,1.20,--,
124,Sunday Aug 18,boxscore,CLE,@,MIL,L,0,2,,72-52,1,up 2.0,Rea,Lively,Koenig,2:07,D,34483,1.35,---,
125,Tuesday Aug 20,boxscore,CLE,@,NYY,W,9,5,12,73-52,1,up 3.5,Herrin,Mayza,,4:05,N,41426,1.48,+,
126,Wednesday Aug 21,boxscore,CLE,@,NYY,L,1,8,,73-53,1,up 2.5,Cortés,Cantillo,,2:20,N,41263,1.39,-,
127,Thursday Aug 22,boxscore,CLE,@,NYY,L,0,6,,73-54,1,up 2.0,Cole,Williams,,2:52,D,38105,1.51,--,
128,Friday Aug 23,boxscore,CLE,,TEX,L,3,5,,73-55,1,up 1.0,Eovaldi,Bibee,Yates,2:45,N,33786,1.56,---,
129,Saturday Aug 24,boxscore,CLE,,TEX,W,13,5,,74-55,1,up 2.0,Lively,Gray,,2:40,N,33037,1.53,+,
130,Sunday Aug 25,boxscore,CLE,,TEX,W,4,2,,75-55,1,up 3.0,Boyd,Bradford,Clase,2:23,D,28970,1.48,++,
131,Monday Aug 26 (1),boxscore,CLE,,KCR,L,3,4,,75-56,1,up 1.0,Schreiber,Gaddis,Erceg,2:36,D,17738,1.97,-,
132,Monday Aug 26 (2),boxscore,CLE,,KCR,L,4,9,,75-57,1,up 1.0,Long,Allen,Lynch,2:35,N,16856,2.15,--,
133,Tuesday Aug 27,boxscore,CLE,,KCR,L,1,6,,75-58,1,Tied,McArthur,Williams,,2:41,N,19820,2.29,---,
134,Wednesday Aug 28,boxscore,CLE,,KCR,W,7,5,,76-58,1,up 1.0,Morgan,Erceg,Clase,2:53,D,19722,2.51,+,
135,Friday Aug 30,boxscore,CLE,,PIT,W,10,8,,77-58,1,up 2.5,Avila,Mlodzinski,Clase,2:46,N,32132,1.57,++,
136,Saturday Aug 31,boxscore,CLE,,PIT,L,0,3,,77-59,1,up 2.5,Ortiz,Boyd,Chapman,2:46,N,35747,1.54,-,
137,Sunday Sep 1,boxscore,CLE,,PIT,W,6,1,,78-59,1,up 3.5,Cobb,Keller,,2:14,D,33750,1.62,+,
138,Monday Sep 2,boxscore,CLE,@,KCR,W,4,2,,79-59,1,up 3.5,Williams,Wacha,Clase,2:15,D,30612,2.00,++,
139,Tuesday Sep 3,boxscore,CLE,@,KCR,W,7,1,,80-59,1,up 4.5,Bibee,Singer,,2:48,N,14813,1.70,+++,
140,Wednesday Sep 4,boxscore,CLE,@,KCR,L,1,4,,80-60,1,up 4.5,Lugo,Lively,Erceg,2:23,N,14094,1.34,-,
141,Friday Sep 6,boxscore,CLE,@,LAD,W,3,1,,81-60,1,up 4.5,Boyd,Knack,Clase,2:17,N,45318,1.23,+,
142,Saturday Sep 7,boxscore,CLE,@,LAD,L,2,7,,81-61,1,up 3.5,Honeywell,Williams,,2:34,N,48690,1.09,-,
143,Sunday Sep 8,boxscore,CLE,@,LAD,L,0,4,,81-62,1,up 2.5,Flaherty,Bibee,,2:31,D,44207,1.28,--,
144,Monday Sep 9,boxscore,CLE,@,CHW,W,5,3,,82-62,1,up 3.5,Cantillo,Shuster,Clase,2:50,N,11429,1.47,+,
145,Tuesday Sep 10,boxscore,CLE,@,CHW,W,5,0,,83-62,1,up 3.5,Avila,Cannon,,2:37,N,12246,1.15,++,
