Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,WSN,@,CIN,L,2,8,,0-1,4,0.5,Montas,Gray,,2:18,D,44030,.96,-,
2,Saturday Mar 30,boxscore,WSN,@,CIN,W,7,6,,1-1,2,1.0,Harvey,Díaz,Finnegan,2:55,D,39674,.90,+,
3,Sunday Mar 31,boxscore,WSN,@,CIN,L-wo,5,6,,1-2,2,1.0,Sims,Finnegan,,2:50,D,13590,.98,-,
4,Monday Apr 1,boxscore,WSN,,PIT,L,4,8,,1-3,2,2.0,Contreras,Garcia,Chapman,3:11,D,40405,.96,--,
5,Wednesday Apr 3,boxscore,WSN,,PIT,W,5,3,,2-3,2,1.0,Williams,Keller,Finnegan,2:30,N,14022,.89,+,
6,Thursday Apr 4,boxscore,WSN,,PIT,L,4,7,,2-4,2,1.5,Pérez,Gray,Bednar,2:52,D,11135,.95,-,
7,Friday Apr 5,boxscore,WSN,,PHI,L,0,4,,2-5,3,2.5,Nola,Corbin,,2:51,N,21374,.94,--,
8,Saturday Apr 6,boxscore,WSN,,PHI,L,2,5,,2-6,3,3.5,Suárez,Irvin,Alvarado,2:28,D,29718,.88,---,
9,Sunday Apr 7,boxscore,WSN,,PHI,W,3,2,,3-6,3,3.5,Gore,Sánchez,Finnegan,2:31,D,24765,.87,+,
10,Monday Apr 8,boxscore,WSN,@,SFG,W,8,1,,4-6,3,2.5,Williams,Snell,,2:48,N,25582,.83,++,
11,Tuesday Apr 9,boxscore,WSN,@,SFG,W,5,3,,5-6,2,2.5,Weems,Walker,Finnegan,2:41,N,24380,.88,+++,
12,Wednesday Apr 10,boxscore,WSN,@,SFG,L,1,7,,5-7,3,3.0,Hicks,Corbin,,2:07,D,25558,.92,-,
13,Friday Apr 12,boxscore,WSN,@,OAK,L-wo,1,2,10,5-8,4,3.5,Kelly,Finnegan,,2:36,N,5777,.83,--,
14,Saturday Apr 13,boxscore,WSN,@,OAK,W,3,1,,6-8,3,2.5,Gore,Boyle,Finnegan,2:35,D,3330,.77,+,
15,Sunday Apr 14,boxscore,WSN,@,OAK,L,6,7,,6-9,4,3.5,Spence,Law,Miller,2:45,D,8637,.85,-,
