Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Sunday May 22,boxscore,LAA,,OAK,W,4,1,,26-17,2,1.5,Sandoval,Irvin,Iglesias,2:49,D,40042,1.21,++,
44,Tuesday May 24,boxscore,LAA,,TEX,W,5,3,,27-17,2,1.0,Syndergaard,Dunning,Iglesias,2:30,N,23791,1.24,+++,
45,Wednesday May 25,boxscore,LAA,,TEX,L,2,7,,27-18,2,2.0,Otto,Detmers,,2:49,N,22950,1.27,-,
46,Thursday May 26,boxscore,LAA,,TOR,L,3,6,,27-19,2,2.5,Ryu,Ohtani,,2:56,N,28228,1.22,--,
47,Friday May 27,boxscore,LAA,,TOR,L,3,4,,27-20,2,2.5,Richards,Iglesias,Romano,3:05,N,44641,1.28,---,
48,Saturday May 28,boxscore,LAA,,TOR,L,5,6,,27-21,2,2.5,Cimber,Barraclough,Stripling,3:45,N,34005,1.22,----,
49,Sunday May 29,boxscore,LAA,,TOR,L,10,11,,27-22,2,3.5,Cimber,Quijada,Phelps,4:13,D,36568,1.25,-----,
50,Tuesday May 31,boxscore,LAA,@,NYY,L,1,9,,27-23,2,5.0,Montgomery,Syndergaard,,2:54,N,31242,1.11,------,
51,Thursday Jun 2 (1),boxscore,LAA,@,NYY,L,1,6,,27-24,2,6.5,Cortés,Ohtani,Peralta,3:07,D,30518,1.08,-------,2022-06-01 (Rain)
52,Thursday Jun 2 (2),boxscore,LAA,@,NYY,L,1,2,,27-25,2,6.5,Taillon,Ortega,Holmes,3:08,N,33476,1.02,--------,
53,Friday Jun 3,boxscore,LAA,@,PHI,L,0,10,,27-26,2,7.5,Eflin,Silseth,,2:41,N,28721,.95,---------,
54,Saturday Jun 4,boxscore,LAA,@,PHI,L,2,7,,27-27,2,7.5,Wheeler,Lorenzen,,3:05,N,36313,.90,----------,
55,Sunday Jun 5,boxscore,LAA,@,PHI,L-wo,7,9,,27-28,2,8.5,Knebel,Iglesias,,3:57,D,34801,.89,-----------,
56,Monday Jun 6,boxscore,LAA,,BOS,L,0,1,,27-29,2,8.5,Wacha,Syndergaard,,2:32,N,29395,.87,------------,
57,Tuesday Jun 7,boxscore,LAA,,BOS,L,5,6,10,27-30,2,9.5,Houck,Barria,Strahm,3:56,N,27627,.82,-------------,
58,Wednesday Jun 8,boxscore,LAA,,BOS,L,0,1,,27-31,2,9.5,Eovaldi,Herget,Strahm,3:09,N,26587,.73,--------------,
59,Thursday Jun 9,boxscore,LAA,,BOS,W,5,2,,28-31,2,9.0,Ohtani,Pivetta,Iglesias,3:09,N,28595,.66,+,
60,Friday Jun 10,boxscore,LAA,,NYM,L,3,7,,28-32,2,9.0,Peterson,Díaz,,3:21,N,31499,.68,-,
61,Saturday Jun 11,boxscore,LAA,,NYM,W,11,6,,29-32,2,8.0,Lorenzen,Carrasco,,3:21,N,36408,.63,+,
62,Sunday Jun 12,boxscore,LAA,,NYM,L,1,4,,29-33,3,9.0,Walker,Sandoval,Díaz,3:11,D,36598,.71,-,
63,Tuesday Jun 14,boxscore,LAA,@,LAD,L,0,2,,29-34,3,9.5,Gonsolin,Syndergaard,Kimbrel,2:58,N,51013,.62,--,
64,Wednesday Jun 15,boxscore,LAA,@,LAD,L,1,4,,29-35,3,10.5,Anderson,Detmers,,2:50,N,50812,.53,---,
65,Thursday Jun 16,boxscore,LAA,@,SEA,W,4,1,,30-35,3,10.0,Ohtani,Kirby,Iglesias,2:53,N,21485,.53,+,
66,Friday Jun 17,boxscore,LAA,@,SEA,L,1,8,,30-36,3,11.0,Ray,Lorenzen,,2:37,N,37500,.58,-,
67,Saturday Jun 18 (1),boxscore,LAA,@,SEA,W,4,2,10,31-36,3,9.5,Iglesias,Castillo,Quijada,3:24,D,24071,.50,+,
68,Saturday Jun 18 (2),boxscore,LAA,@,SEA,W,3,0,,32-36,3,9.5,Herget,Milone,Bradley,2:57,N,20804,.51,++,
69,Sunday Jun 19,boxscore,LAA,@,SEA,W,4,0,,33-36,2,9.5,Wantz,Gilbert,,2:44,D,39052,.64,+++,
70,Monday Jun 20,boxscore,LAA,,KCR,L,2,6,,33-37,2,10.0,Bubic,Syndergaard,,2:58,N,22234,.67,-,
71,Tuesday Jun 21,boxscore,LAA,,KCR,L,11,12,11,33-38,3,11.0,Coleman,Quijada,Mengden,4:14,N,20189,.64,--,
72,Wednesday Jun 22,boxscore,LAA,,KCR,W,5,0,,34-38,3,11.0,Ohtani,Lynch,,3:04,N,34792,.53,+,
73,Friday Jun 24,boxscore,LAA,,SEA,L,3,4,,34-39,3,11.5,Flexen,Lorenzen,Sewald,3:41,N,35704,.59,-,
74,Saturday Jun 25,boxscore,LAA,,SEA,L,3,5,,34-40,4,12.5,Gilbert,Bradley,Swanson,3:22,N,35466,.53,--,
75,Sunday Jun 26,boxscore,LAA,,SEA,W,2,1,,35-40,3,11.5,Suarez,Gonzales,Ortega,3:04,D,26489,.44,+,
76,Monday Jun 27,boxscore,LAA,,CHW,W,4,3,,36-40,3,11.0,Syndergaard,López,Iglesias,2:42,N,21973,.49,++,
77,Tuesday Jun 28,boxscore,LAA,,CHW,L,4,11,,36-41,3,12.0,Cueto,Ortega,,3:16,N,23979,.54,-,
78,Wednesday Jun 29,boxscore,LAA,,CHW,W,4,1,,37-41,3,12.0,Ohtani,Kopech,Iglesias,3:21,N,27612,.46,+,
79,Friday Jul 1,boxscore,LAA,@,HOU,L,1,8,,37-42,3,13.5,Javier,Lorenzen,,2:45,N,36420,.54,-,
