Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Wednesday May 15,boxscore,OAK,@,HOU,L,0,3,,19-26,3,5.5,Valdez,Brooks,Martinez,2:04,N,28124,.64,----,
46,Thursday May 16,boxscore,OAK,@,HOU,L,1,8,,19-27,4,6.0,Javier,Estes,Dubin,2:23,N,26377,.59,-----,
47,Friday May 17,boxscore,OAK,@,KCR,L,2,6,,19-28,4,6.0,Ragans,Spence,,2:27,N,24585,.51,------,
48,Saturday May 18,boxscore,OAK,@,KCR,L,3,5,,19-29,4,7.0,Lugo,Stripling,McArthur,2:19,N,22014,.46,-------,
49,Sunday May 19,boxscore,OAK,@,KCR,L,4,8,,19-30,4,7.0,Singer,Sears,,2:23,D,20035,.38,--------,
50,Tuesday May 21,boxscore,OAK,,COL,W,5,4,,20-30,4,7.5,Erceg,Kinley,Miller,2:17,N,4005,.33,+,
51,Wednesday May 22,boxscore,OAK,,COL,L,3,4,12,20-31,5,7.5,Mears,Muller,Koch,3:09,N,3617,.37,-,
52,Thursday May 23,boxscore,OAK,,COL,W-wo,10,9,11,21-31,4,6.5,Bielak,Lambert,,3:12,D,6886,.30,+,
53,Friday May 24,boxscore,OAK,,HOU,L,3,6,,21-32,4,6.5,Verlander,Stripling,Hader,2:31,N,9676,.40,-,
54,Saturday May 25,boxscore,OAK,,HOU,W,3,1,,22-32,4,5.5,Sears,Arrighetti,Miller,2:24,D,10617,.35,+,
55,Sunday May 26,boxscore,OAK,,HOU,L,2,5,,22-33,4,6.5,Blanco,Brooks,,2:20,D,10927,.44,-,
56,Tuesday May 28,boxscore,OAK,@,TBR,W,3,0,,23-33,4,7.0,Spence,Littell,Miller,2:31,N,13889,.33,+,
57,Wednesday May 29,boxscore,OAK,@,TBR,L-wo,3,4,,23-34,4,8.0,Fairbanks,Kelly,,2:55,N,13167,.36,-,
58,Thursday May 30,boxscore,OAK,@,TBR,L-wo,5,6,12,23-35,4,8.0,Lovelady,Ferguson,,3:12,D,15264,.32,--,
59,Friday May 31,boxscore,OAK,@,ATL,L,2,4,,23-36,4,9.0,López,Sears,Iglesias,2:07,N,40204,.27,---,
60,Saturday Jun 1,boxscore,OAK,@,ATL,W,11,9,,24-36,4,9.0,Kelly,Herget,Jiménez,2:53,D,41181,.24,+,
