Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,OAK,@,PHI,L,5,9,,0-1,3,1.5,Nola,Montas,,3:14,D,44232,.88,-,
2,Saturday Apr 9,boxscore,OAK,@,PHI,L,2,4,,0-2,4,2.0,Gibson,Irvin,Knebel,2:37,D,41622,.83,--,
3,Sunday Apr 10,boxscore,OAK,@,PHI,W,4,1,,1-2,3,1.5,Jefferies,Falter,,2:57,D,33507,.81,+,
4,Monday Apr 11,boxscore,OAK,@,TBR,W,13,2,,2-2,2,1.0,Blackburn,Patiño,,3:00,N,9139,.90,++,
5,Tuesday Apr 12,boxscore,OAK,@,TBR,L-wo,8,9,10,2-3,3,2.0,Thompson,Trivino,,4:12,N,7588,.97,-,
6,Wednesday Apr 13,boxscore,OAK,@,TBR,W,4,2,,3-3,2,1.0,Montas,McClanahan,Trivino,3:02,N,8954,.91,+,
7,Thursday Apr 14,boxscore,OAK,@,TBR,W,6,3,,4-3,2,0.5,Irvin,Fleming,Jiménez,2:33,D,8287,1.01,++,
8,Friday Apr 15,boxscore,OAK,@,TOR,L,1,4,,4-4,2,0.5,Cimber,Jefferies,Romano,3:00,N,35415,1.00,-,
9,Saturday Apr 16,boxscore,OAK,@,TOR,W,7,5,,5-4,2,0.5,Jiménez,Merryweather,Trivino,3:05,D,32330,.96,+,
10,Sunday Apr 17,boxscore,OAK,@,TOR,L,3,4,,5-5,3,1.0,Manoah,Oller,Romano,3:05,D,27490,1.03,-,
11,Monday Apr 18,boxscore,OAK,,BAL,W,5,1,,6-5,2,0.5,Montas,Krehbiel,,2:59,N,17503,.94,+,
12,Tuesday Apr 19,boxscore,OAK,,BAL,W,2,1,,7-5,1,Tied,Logue,Baumann,Jackson,3:11,N,3748,1.07,++,
13,Wednesday Apr 20,boxscore,OAK,,BAL,L,0,1,,7-6,3,1.0,Lyles,Jefferies,López,3:02,D,2703,1.05,-,
14,Thursday Apr 21,boxscore,OAK,,BAL,W,6,4,,8-6,2,0.5,Blackburn,Wells,Jiménez,2:50,D,4429,1.01,+,
15,Friday Apr 22,boxscore,OAK,,TEX,L,1,8,,8-7,3,0.5,Otto,Oller,,3:05,N,7012,1.06,-,
16,Saturday Apr 23,boxscore,OAK,,TEX,L,0,2,,8-8,3,1.5,Burke,Montas,Bush,2:41,D,9120,1.08,--,
17,Sunday Apr 24,boxscore,OAK,,TEX,W,2,0,,9-8,3,1.5,Irvin,Howard,Jiménez,2:56,D,11083,1.04,+,
18,Tuesday Apr 26,boxscore,OAK,@,SFG,L,2,8,,9-9,3,2.5,Rodón,Jefferies,,3:01,N,32898,.99,-,
19,Wednesday Apr 27,boxscore,OAK,@,SFG,W,1,0,,10-9,3,2.0,Blackburn,Long,Jiménez,3:00,N,32014,.93,+,
20,Friday Apr 29,boxscore,OAK,,CLE,L,8,9,,10-10,4,3.5,Stephan,Acevedo,Clase,3:21,N,12910,.99,-,
21,Saturday Apr 30,boxscore,OAK,,CLE,L,1,3,,10-11,4,3.5,Sandlin,Jiménez,Clase,2:42,D,6707,.97,--,
22,Sunday May 1,boxscore,OAK,,CLE,L,3,7,,10-12,4,4.5,McKenzie,Kaprielian,,3:13,D,14945,.92,---,
23,Monday May 2,boxscore,OAK,,TBR,L,1,6,,10-13,4,4.5,Rasmussen,Jefferies,,2:37,N,2488,.90,----,
24,Tuesday May 3,boxscore,OAK,,TBR,L,7,10,10,10-14,4,4.5,Kittredge,Trivino,,3:21,N,2815,.84,-----,
25,Wednesday May 4,boxscore,OAK,,TBR,L,0,3,,10-15,5,5.5,Feyereisen,Jackson,Kittredge,2:39,D,4838,.77,------,
26,Friday May 6,boxscore,OAK,@,MIN,L,1,2,,10-16,5,7.0,Winder,Logue,Pagán,2:44,N,17509,.69,-------,
