Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Wednesday May 25,boxscore,WSN,,LAD,W,1,0,,15-30,5,13.5,Fedde,Urías,Rainey,2:53,D,23341,.16,+,
46,Thursday May 26,boxscore,WSN,,COL,W,7,3,,16-30,5,13.0,Corbin,Márquez,,2:40,N,16264,.21,++,
47,Saturday May 28 (1),boxscore,WSN,,COL,W,13,7,,17-30,5,14.0,Ramírez,Gomber,,3:37,D,20294,.21,+++,2022-05-27 (Rain)
48,Saturday May 28 (2),boxscore,WSN,,COL,L,2,3,,17-31,5,14.0,Kuhl,Finnegan,Bard,2:53,N,26535,.23,-,
49,Sunday May 29,boxscore,WSN,,COL,W,6,5,,18-31,5,14.0,Gray,Freeland,Rainey,3:13,D,25225,.23,+,
50,Monday May 30,boxscore,WSN,@,NYM,L,5,13,,18-32,5,15.0,Holderman,Fedde,,3:29,N,22007,.24,-,
51,Tuesday May 31,boxscore,WSN,@,NYM,L,0,10,,18-33,5,16.0,Williams,Corbin,,3:31,N,25263,.21,--,
52,Wednesday Jun 1,boxscore,WSN,@,NYM,L,0,5,,18-34,5,17.0,Carrasco,Lee,,3:02,D,25417,.17,---,
53,Thursday Jun 2,boxscore,WSN,@,CIN,L,1,8,,18-35,5,17.0,Ashcraft,Adon,,2:40,N,12799,.13,----,
54,Friday Jun 3,boxscore,WSN,@,CIN,W,8,5,,19-35,5,16.0,Gray,Minor,Rainey,3:09,N,19032,.11,+,
55,Saturday Jun 4,boxscore,WSN,@,CIN,W,10,8,,20-35,5,16.0,Finnegan,Strickland,Rainey,3:44,D,23128,.13,++,
56,Sunday Jun 5,boxscore,WSN,@,CIN,W,5,4,,21-35,5,16.0,Corbin,Castillo,Cishek,3:22,D,16380,.15,+++,
57,Tuesday Jun 7,boxscore,WSN,@,MIA,L,2,12,,21-36,5,16.5,Cabrera,Adon,,2:57,N,7112,.17,-,
58,Wednesday Jun 8,boxscore,WSN,@,MIA,L-wo,1,2,10,21-37,5,16.5,Scott,Rainey,,3:29,N,7193,.15,--,
59,Thursday Jun 9,boxscore,WSN,@,MIA,L,4,7,,21-38,5,17.0,Rogers,Strasburg,Scott,3:09,N,9108,.13,---,
60,Friday Jun 10,boxscore,WSN,,MIL,W,11,5,,22-38,5,17.0,Fedde,Ashby,,3:15,N,26111,.12,+,
61,Saturday Jun 11,boxscore,WSN,,MIL,W,8,6,,23-38,5,16.0,Corbin,Lauer,,3:02,D,25265,.13,++,
62,Sunday Jun 12,boxscore,WSN,,MIL,L,1,4,,23-39,5,17.0,Milner,Espino,Hader,3:11,D,22549,.14,-,
63,Monday Jun 13,boxscore,WSN,,ATL,L,5,9,,23-40,5,17.5,Lee,Ramírez,,3:15,N,20571,.12,--,
64,Tuesday Jun 14,boxscore,WSN,,ATL,L,4,10,,23-41,5,18.5,Fried,Tetreault,Stephens,3:14,N,24490,.09,---,
65,Wednesday Jun 15,boxscore,WSN,,ATL,L,2,8,,23-42,5,18.5,Strider,Fedde,,3:27,N,21153,.07,----,
66,Thursday Jun 16,boxscore,WSN,,PHI,L,1,10,,23-43,5,19.5,Wheeler,Corbin,,3:02,N,19944,.05,-----,
67,Friday Jun 17 (1),boxscore,WSN,,PHI,L,3,5,,23-44,5,21.0,Suárez,Adon,Hand,3:32,D,15501,.04,------,
68,Friday Jun 17 (2),boxscore,WSN,,PHI,L,7,8,10,23-45,5,21.0,Alvarado,Cishek,,3:45,N,24785,.03,-------,
69,Saturday Jun 18,boxscore,WSN,,PHI,L,1,2,10,23-46,5,22.0,Hand,Garrett,Domínguez,3:48,D,42730,.02,--------,
70,Sunday Jun 19,boxscore,WSN,,PHI,W,9,3,,24-46,5,21.0,Tetreault,Eflin,,2:57,D,32261,.02,+,
71,Tuesday Jun 21,boxscore,WSN,@,BAL,W,3,0,,25-46,5,20.5,Fedde,Lyles,Rainey,2:46,N,15197,.01,++,
72,Wednesday Jun 22,boxscore,WSN,@,BAL,L,0,7,6,25-47,5,20.5,Wells,Corbin,Vespi,2:32,N,12630,.02,-,
73,Friday Jun 24,boxscore,WSN,@,TEX,W,2,1,,26-47,5,20.5,Edwards,Santana,Rainey,3:05,N,28854,.02,+,
74,Saturday Jun 25,boxscore,WSN,@,TEX,L-wo,2,3,,26-48,5,21.5,Barlow,Finnegan,,2:42,D,36183,.02,-,
75,Sunday Jun 26,boxscore,WSN,@,TEX,W,6,4,,27-48,5,20.5,Tetreault,Otto,Rainey,3:17,D,34220,.02,+,
76,Monday Jun 27,boxscore,WSN,,PIT,W,3,2,,28-48,5,20.0,Edwards,Stratton,Finnegan,2:54,N,18213,.02,++,
77,Tuesday Jun 28,boxscore,WSN,,PIT,W,3,1,,29-48,5,19.0,Corbin,Crowe,Rainey,2:51,N,22575,.02,+++,
