Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,PHI,,OAK,W,9,5,,1-0,2,0.5,Nola,Montas,,3:14,D,44232,.89,+,
2,Saturday Apr 9,boxscore,PHI,,OAK,W,4,2,,2-0,2,0.5,Gibson,Irvin,Knebel,2:37,D,41622,.91,++,
3,Sunday Apr 10,boxscore,PHI,,OAK,L,1,4,,2-1,2,0.5,Jefferies,Falter,,2:57,D,33507,.96,-,
4,Monday Apr 11,boxscore,PHI,,NYM,W,5,4,,3-1,1,up 0.5,Domínguez,Lugo,Hand,3:05,N,22317,1.02,+,
5,Tuesday Apr 12,boxscore,PHI,,NYM,L,0,2,,3-2,2,0.5,Megill,Wheeler,Díaz,3:12,N,26045,1.07,-,
6,Wednesday Apr 13,boxscore,PHI,,NYM,L,6,9,,3-3,2,1.5,Scherzer,Nola,,4:04,D,31190,1.01,--,
7,Thursday Apr 14,boxscore,PHI,@,MIA,L,3,4,,3-4,2,2.0,Alcantara,Gibson,Bender,3:23,N,31184,.97,---,
8,Friday Apr 15,boxscore,PHI,@,MIA,L,1,7,,3-5,5,3.0,López,Eflin,,3:15,N,11990,.94,----,
9,Saturday Apr 16,boxscore,PHI,@,MIA,W,10,3,,4-5,3,2.0,Suárez,Rogers,,3:23,N,13412,.88,+,
10,Sunday Apr 17,boxscore,PHI,@,MIA,L,3,11,,4-6,4,3.0,Hernández,Wheeler,,3:32,D,11476,.95,-,
11,Monday Apr 18,boxscore,PHI,@,COL,L,1,4,,4-7,4,3.5,Kuhl,Nola,Colomé,2:53,N,20403,.85,--,
12,Tuesday Apr 19,boxscore,PHI,@,COL,L,5,6,,4-8,5,5.0,Lawrence,Domínguez,Bard,3:02,N,23800,.79,---,
13,Wednesday Apr 20,boxscore,PHI,@,COL,W,9,6,,5-8,4,4.0,Hand,Chacín,Knebel,3:09,D,21490,.74,+,
14,Friday Apr 22,boxscore,PHI,,MIL,W,4,2,,6-8,3,4.5,Nelson,Ashby,Knebel,3:20,N,29285,.82,++,
15,Saturday Apr 23,boxscore,PHI,,MIL,L,3,5,,6-9,4,4.5,Houser,Wheeler,Hader,2:57,D,30612,.86,-,
16,Sunday Apr 24,boxscore,PHI,,MIL,L,0,1,,6-10,4,5.5,Williams,Knebel,Hader,2:49,N,26175,.79,--,
17,Monday Apr 25,boxscore,PHI,,COL,W,8,2,,7-10,3,5.5,Gibson,Freeland,,3:09,N,20130,.74,+,
18,Tuesday Apr 26,boxscore,PHI,,COL,W,10,3,,8-10,3,5.5,Eflin,Márquez,,3:19,N,22300,.77,++,
19,Wednesday Apr 27,boxscore,PHI,,COL,W,7,3,,9-10,3,4.5,Suárez,Feltner,,3:20,N,20127,.78,+++,
20,Thursday Apr 28,boxscore,PHI,,COL,W,7,1,,10-10,3,4.0,Wheeler,Gomber,,3:08,D,20098,.87,++++,
21,Friday Apr 29,boxscore,PHI,@,NYM,L,0,3,,10-11,3,5.0,Megill,Nola,Díaz,3:18,N,32416,.99,-,
22,Saturday Apr 30,boxscore,PHI,@,NYM,W,4,1,,11-11,3,4.0,Norwood,Ottavino,Knebel,3:48,N,40036,.91,+,
23,Sunday May 1,boxscore,PHI,@,NYM,L,6,10,,11-12,3,5.0,Scherzer,Eflin,,3:20,N,30608,1.00,-,
24,Tuesday May 3,boxscore,PHI,,TEX,L,4,6,,11-13,3,6.0,Burke,Suárez,Barlow,3:05,N,27788,.81,--,
25,Wednesday May 4,boxscore,PHI,,TEX,L,1,2,10,11-14,3,6.0,Bush,Hand,Barlow,3:14,N,21315,.76,---,
26,Thursday May 5,boxscore,PHI,,NYM,L,7,8,,11-15,4,7.0,Medina,Knebel,Díaz,3:15,N,24040,.80,----,
27,Sunday May 8 (1),boxscore,PHI,,NYM,W,3,2,,12-15,4,7.0,Gibson,Scherzer,Knebel,2:58,D,,.73,+,2022-05-07 (Rain)
28,Sunday May 8 (2),boxscore,PHI,,NYM,L,1,6,,12-16,4,7.0,Bassitt,Sánchez,,3:15,D,37133,.79,-,
29,Monday May 9,boxscore,PHI,@,SEA,W,9,0,,13-16,3,6.5,Suárez,Flexen,,3:01,N,15881,.60,+,
30,Tuesday May 10,boxscore,PHI,@,SEA,L,4,5,,13-17,3,7.5,Ray,Nola,Sewald,3:36,N,16422,.70,-,
31,Wednesday May 11,boxscore,PHI,@,SEA,W,4,2,,14-17,3,6.5,Domínguez,Gilbert,Knebel,3:11,D,16387,.65,+,
32,Thursday May 12,boxscore,PHI,@,LAD,W,9,7,,15-17,2,6.5,Bellatti,Hudson,Knebel,3:29,N,46539,.73,++,
33,Friday May 13,boxscore,PHI,@,LAD,W,12,10,10,16-17,2,5.5,Familia,Graterol,Morales,4:18,N,50712,.83,+++,
34,Saturday May 14,boxscore,PHI,@,LAD,W,8,3,,17-17,2,5.5,Suárez,Urías,,2:38,N,50279,.89,++++,
35,Sunday May 15,boxscore,PHI,@,LAD,L-wo,4,5,,17-18,2,5.5,Greene,Knebel,,3:33,D,51869,.97,-,
36,Tuesday May 17,boxscore,PHI,,SDP,L,0,3,,17-19,2,6.0,Clevinger,Eflin,Rogers,2:53,N,29200,.90,--,
37,Wednesday May 18,boxscore,PHI,,SDP,W,3,0,,18-19,2,6.0,Wheeler,Snell,Knebel,2:44,N,27655,.83,+,
38,Thursday May 19,boxscore,PHI,,SDP,L,0,2,,18-20,2,7.0,Darvish,Gibson,Rogers,3:31,D,30146,.86,-,
39,Friday May 20,boxscore,PHI,,LAD,L,1,4,,18-21,2,7.5,Urías,Suárez,Kimbrel,3:44,N,30025,.80,--,
40,Saturday May 21,boxscore,PHI,,LAD,L,4,7,,18-22,3,8.0,Hudson,Alvarado,Kimbrel,3:57,N,32068,.74,---,
41,Sunday May 22,boxscore,PHI,,LAD,W-wo,4,3,10,19-22,2,8.0,Knebel,Phillips,,3:29,D,34021,.66,+,
