Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Tuesday May 14,boxscore,TEX,,CLE,L,4,7,,22-22,2,1.5,Lively,Leiter,Clase,2:56,N,33885,1.06,-----,
45,Wednesday May 15,boxscore,TEX,,CLE,W,4,0,,23-22,2,1.5,Gray,Carrasco,,2:26,N,29276,.98,+,
46,Friday May 17,boxscore,TEX,,LAA,L,3,9,,23-23,2,1.5,Anderson,Heaney,,2:50,N,37922,1.04,-,
47,Saturday May 18,boxscore,TEX,,LAA,W-wo,3,2,13,24-23,2,1.5,Rodríguez,Fulmer,,3:44,N,36457,.97,+,
48,Sunday May 19,boxscore,TEX,,LAA,L,1,4,,24-24,2,1.5,Soriano,Lorenzen,García,2:23,D,36009,1.01,-,
49,Tuesday May 21,boxscore,TEX,@,PHI,L,2,5,,24-25,2,3.0,Suárez,Gray,Alvarado,2:36,N,41083,.88,--,
50,Wednesday May 22,boxscore,TEX,@,PHI,L,4,11,,24-26,2,3.0,Strahm,Dunning,,2:49,N,39595,.87,---,
51,Thursday May 23,boxscore,TEX,@,PHI,L,2,5,,24-27,2,3.0,Wheeler,Heaney,Hoffman,2:28,D,42377,.82,----,
52,Friday May 24,boxscore,TEX,@,MIN,L,2,3,,24-28,2,3.0,Ober,Ureña,Durán,2:35,N,21857,.79,-----,
53,Saturday May 25,boxscore,TEX,@,MIN,L,3,5,,24-29,2,3.0,Sands,Robertson,Durán,2:36,D,30957,.75,------,
54,Sunday May 26,boxscore,TEX,@,MIN,W,6,2,,25-29,2,3.0,Latz,López,,2:55,D,27917,.71,+,
55,Tuesday May 28,boxscore,TEX,,ARI,W,4,2,,26-29,2,3.5,Heaney,Pfaadt,Yates,2:11,N,37977,.69,++,
56,Wednesday May 29,boxscore,TEX,,ARI,W,6,1,,27-29,2,3.5,Dunning,Nelson,,2:42,D,34023,.73,+++,
57,Friday May 31,boxscore,TEX,@,MIA,L,2,8,,27-30,2,4.0,Cronin,Ureña,,2:19,N,11687,.76,-,
58,Saturday Jun 1,boxscore,TEX,@,MIA,W,7,0,,28-30,2,4.0,Lorenzen,Weathers,,2:41,D,21388,.69,+,
59,Sunday Jun 2,boxscore,TEX,@,MIA,W,6,0,,29-30,2,4.0,Heaney,Rogers,,2:24,D,13351,.73,++,
60,Monday Jun 3,boxscore,TEX,,DET,L,1,2,,29-31,2,4.5,Brieske,Leclerc,,2:13,N,28620,.79,-,
61,Tuesday Jun 4,boxscore,TEX,,DET,L,1,3,,29-32,2,5.5,Flaherty,Dunning,Foley,2:28,N,35095,.77,--,
62,Wednesday Jun 5,boxscore,TEX,,DET,W,9,1,,30-32,2,4.5,Ureña,Wentz,,2:43,N,29748,.69,+,
63,Friday Jun 7,boxscore,TEX,,SFG,L,2,5,,30-33,2,5.0,Webb,Robertson,Doval,2:37,N,35868,.73,-,
64,Saturday Jun 8,boxscore,TEX,,SFG,L,1,3,,30-34,2,5.0,Miller,Heaney,Doval,2:33,D,34843,.67,--,
65,Sunday Jun 9,boxscore,TEX,,SFG,W,7,2,,31-34,2,5.0,Eovaldi,Winn,,2:16,D,34912,.62,+,
66,Tuesday Jun 11,boxscore,TEX,@,LAD,L,2,15,,31-35,2,6.5,Paxton,Dunning,,2:40,N,51416,.62,-,
67,Wednesday Jun 12,boxscore,TEX,@,LAD,W,3,2,,32-35,2,6.5,Latz,Buehler,Yates,2:51,N,48930,.58,+,
68,Thursday Jun 13,boxscore,TEX,@,LAD,W,3,1,,33-35,2,5.5,Lorenzen,Grove,Yates,2:31,N,50134,.63,++,
69,Friday Jun 14,boxscore,TEX,@,SEA,L,2,3,,33-36,2,6.5,Castillo,Heaney,Stanek,2:25,N,41814,.95,-,
70,Saturday Jun 15,boxscore,TEX,@,SEA,L,5,7,,33-37,2,7.5,Kirby,Eovaldi,Stanek,2:46,D,43448,.81,--,
71,Sunday Jun 16,boxscore,TEX,@,SEA,L,0,5,,33-38,2,8.5,Gilbert,Dunning,,2:18,D,45584,.74,---,
72,Monday Jun 17,boxscore,TEX,,NYM,L,2,14,,33-39,2,9.0,Peterson,Gray,,2:53,N,32590,.50,----,
73,Tuesday Jun 18,boxscore,TEX,,NYM,L,6,7,,33-40,2,10.0,Garrett,Yates,Díaz,2:44,N,36274,.41,-----,
74,Wednesday Jun 19,boxscore,TEX,,NYM,W,5,3,,34-40,2,9.0,Ureña,Smith,Yates,2:27,N,36095,.36,+,
75,Friday Jun 21,boxscore,TEX,,KCR,W,6,2,,35-40,3,7.5,Eovaldi,Schreiber,,2:38,N,37678,.49,++,
76,Saturday Jun 22,boxscore,TEX,,KCR,W,6,0,,36-40,3,7.5,Gray,Wacha,,2:17,D,38301,.56,+++,
77,Sunday Jun 23,boxscore,TEX,,KCR,W,4,0,,37-40,3,6.5,Scherzer,Marsh,Ureña,2:05,D,35762,.59,++++,
78,Monday Jun 24,boxscore,TEX,@,MIL,L,3,6,,37-41,3,6.5,Peguero,Latz,Megill,2:58,N,27924,.60,-,
79,Tuesday Jun 25,boxscore,TEX,@,MIL,L,1,3,,37-42,3,6.5,Wilson,Heaney,Peguero,2:15,N,30892,.55,--,
80,Wednesday Jun 26,boxscore,TEX,@,MIL,L-wo,5,6,10,37-43,3,7.5,Koenig,Latz,,2:43,D,36552,.50,---,
81,Thursday Jun 27,boxscore,TEX,@,BAL,L,2,11,,37-44,3,8.0,Burnes,Gray,,2:28,N,29479,.45,----,
82,Friday Jun 28,boxscore,TEX,@,BAL,L,1,2,,37-45,3,9.0,Suárez,Scherzer,Kimbrel,2:29,N,27666,.37,-----,
83,Saturday Jun 29,boxscore,TEX,@,BAL,L,5,6,,37-46,3,9.0,Povich,Lorenzen,Kimbrel,2:53,N,44286,.30,------,
84,Sunday Jun 30,boxscore,TEX,@,BAL,W,11,2,,38-46,3,8.0,Heaney,Irvin,,2:47,N,23439,.34,+,
85,Tuesday Jul 2,boxscore,TEX,,SDP,W,7,0,,39-46,3,7.0,Eovaldi,Cease,,2:20,N,33965,.32,++,
86,Wednesday Jul 3,boxscore,TEX,,SDP,L,4,6,,39-47,3,7.0,Morejón,Dunning,Suarez,3:07,N,37859,.39,-,
87,Thursday Jul 4,boxscore,TEX,,SDP,L,1,3,,39-48,3,8.0,King,Scherzer,Suarez,2:28,D,38607,.31,--,
88,Friday Jul 5,boxscore,TEX,,TBR,W,3,0,,40-48,3,8.0,Lorenzen,Baz,Yates,2:40,N,32175,.27,+,
89,Saturday Jul 6,boxscore,TEX,,TBR,W,4,3,,41-48,3,7.0,Hernández,Kelly,Yates,2:20,D,31560,.31,++,
90,Sunday Jul 7,boxscore,TEX,,TBR,W,13,2,,42-48,3,6.0,Eovaldi,Littell,,2:27,D,32113,.36,+++,
91,Monday Jul 8,boxscore,TEX,@,LAA,W,9,4,,43-48,3,5.5,Gray,Daniel,,2:38,N,25193,.40,++++,
92,Tuesday Jul 9,boxscore,TEX,@,LAA,W,5,4,,44-48,3,5.5,Leclerc,García,Yates,2:31,N,23791,.50,+++++,
93,Wednesday Jul 10,boxscore,TEX,@,LAA,L,2,7,,44-49,3,6.5,Crouse,Lorenzen,,2:30,N,23230,.49,-,
94,Friday Jul 12,boxscore,TEX,@,HOU,L,3,6,,44-50,3,7.0,Brown,Heaney,Hader,2:22,N,39666,.48,--,
95,Saturday Jul 13,boxscore,TEX,@,HOU,W,2,1,10,45-50,3,6.0,Robertson,Scott,Yates,2:51,D,42094,.40,+,
